,,,,,
,,,,,
"     ""Затверджую""",,,,,
"     Декан факультету правничих наук                             Мелешевич А.А.",,,,,
,,,,,
"Розклад занять на осінній семестр 2012-13 н.р.ф-ту правничих наук 2 р.н.",,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд."
,,,,,
,,,,,
,,,,,
"Пн.","08.30-09.50","1-14","Англійська мова- Залєська Л.М.","А75","2-404"
,,"1-14","Англійська мова- Тригуб О.І.","А76","8-8"
,,"1-14","Англійська мова - Бражник Н.В.","А77","2-402"
,"10.00-11.20","2-14","Українська мова за професійним ",2,"4-321"
,,,"спрямуванням - доц. Голосовська Г.Г.",,
,"11.40-13.00","1-10","Українська мова за професійним ","Лекція","4-321"
,,,"спрямуванням - доц. Голосовська Г.Г.",,
,"13.30-14.50","1-7","Конституційне право України -","Лекція","4-321"
,,,"доц.Савенко М.Д.",,
"Вт.","08.30-09.50","1-11","Цивільне право- проф. Стефанчук Р.Ю.","Лекція","4-321"
,"10.00-11.20","1-11","Цивільне право- проф. Стефанчук Р.Ю.","Лекція","4-321"
,"11.40-13.00","7,9-14","Конституційне право України -",2,"4-321"
,,,"доц.Савенко М.Д.",,
,,"9-15","Цивільне право- доц. Дзера І.С.",1,"4-319"
,"13.30-14.50","9-15","Цивільне право- доц. Дзера І.С.",2,"4-319"
,,"7,9-14","Конституційне право України -",1,"4-321"
,,,"доц.Савенко М.Д.",,
"Ср.","08.30-09.50",,,,
,"10.00-11.20","5-15","Юридична термінологія- доц.Артикуца Н.В.",3,"9-29"
,"11.40-13.00","5-15","Юридична термінологія- доц.Артикуца Н.В.",1,"9-29"
,"13.30-14.50","1--4","Юридична термінологія- доц.Артикуца Н.В.","Лекція","9-29"
,,"5-15","Юридична термінологія- доц.Артикуца Н.В.",2,"9-29"
,"15.00-16.20","всі","Фізичне виховання",,"1т. 4-321"
"Чт.","08.30-09.50","1-15","Історія української культури","Лекція","4-321"
,,," - доц. Нікішенко Ю.І.",,
,"10.00-11.20","9-14","Історія української культури",1,"4-321"
,,," - Чумаченко Б.М.",,
,"11.40-13.00","2-14","Цивільне право- доц. Дзера І.С.",1,"9-8"
,,"9-14","Історія української культури",2,"4-321"
,,," - Чумаченко Б.М.",,
,"13.30-14.50","2-14","Українська мова за професійним ",1,"8-11"
,,,"спрямуванням - доц. Голосовська Г.Г.",,
,,"2-14","Цивільне право- доц. Дзера І.С.",2,"9-8"
,"15.00-16.20","2-14","Українська мова за професійним ",3,"8-11"
,,,"спрямуванням - доц. Голосовська Г.Г.",,
"Пт.","08.30-09.50","1-14","Англійська мова- Залєська Л.М.","А75","2-404"
,,"1-14","Англійська мова- Тригуб О.І.","А76","8-8"
,,"1-14","Англійська мова - Бражник Н.В.","А77","2-402"
,"10.00-11.20",,,,
,"11.40-13.00","всі","Фізичне виховання",1,
,"Провідний спеціаліст деканату",,,"Кучер В.П.",
