"Методист факультету",,,,,,
"     ""Затверджую""",,,,,,
"     Декан факультету правничих наук                             Мелешевич А.А.",,,,,,
,,,,,,
"Розклад занять на осінній семестр 2012-13 н.р. ф-ту правничих наук 5 р.н.",,,,,,
,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.","15 тижнів 8-й сам роб"
,,,,,,
"Пн.","08.30-09.50","1-15","Право інтелектуальної власності- ст.в. Міндрул А.В.","Лекція","4-100",
,"10.00-11.20","1,2","Право інтелектуальної власності- ст.в. Міндрул А.В.","Лекція","4-425",
,,"3-15","Право інтелектуальної власності- ст.в. Щукіна К.А.",2,"9-8",
,"11.40-13.00","3-15","Право інтелектуальної власності- ст.в. Щукіна К.А.",1,"9-8",
,,"1","Валютне регулювання і валютний контроль - ","Лекція","4-319",
,,",3-11","ст. викл. Кравченко Н.Г.",,"4-101",
,,"2","Правове регулювання операцій з ","Лекція","4-319",
,,,"нерухомістю- ст. викл. Бондарєв Т.Б.",,,
,"13.30-14.50","2-7","Банківське право -  ст. викл. Кравченко Н.Г.","Лекція","4-425",
,,"9-15","Банківське право - ст. викл. Лобач О.М.",1,"4-425",
,"15.00-16.30","3-15","Порівняльне виборче право і ",1,"4-314",
,,,"парламентаризм - доц. Ключковський Ю.Б.",,,
,,"1","Порівняльне виборче право і ","Лекція","4-321",
,,,"парламентаризм - доц. Ключковський Ю.Б.",,,
,"16.30-17.50","1-15","Порівняльне виборче право і ","Лекція","4-321",
,,,"парламентаризм - доц. Ключковський Ю.Б.",,,
"Вт.","08.30-09.50","2-4","Правове регулювання операцій з ","Лекція","4-425",
,,,"нерухомістю- ст. викл. Бондарєв Т.Б.",,,
,,"1","Право соціального забезпечення- доц. Костюк В.Л.","Лекція","4-317",
,,"9,10,","Правове регулювання операцій з ",1,"4-425",
,,"12-14","нерухомістю- ст. викл. Бондарєв Т.Б.",,,
,"10.00-11.20","2-5","Правове регулювання операцій з ","Лекція","4-425",
,,,"нерухомістю- ст. викл. Бондарєв Т.Б.",,,
,,"1,6","Право соціального забезпечення- доц. Костюк В.Л.","Лекція","4-317",
,,"9,10,","Правове регулювання операцій з ",2,"4-425",
,,"12-14","нерухомістю- ст. викл. Бондарєв Т.Б.",,,
,,"9-15","Мова права - доц. Артикуца Н.В.",1,"9-29",
,"11.40-13.00","1","Мова права - доц. Артикуца Н.В.","Лекція","9-29",
,,"2-15","Мова права - доц. Артикуца Н.В.",1,"9-29",
,"13.30-14.50","2-15","Мова права - доц. Артикуца Н.В.",2,"9-29",
,"15.00-16.20","2-7","Мова права - доц. Артикуца Н.В.","Лекція","9-29",
,,"9-15","Мова права - доц. Артикуца Н.В.",2,"9-29",
,"16.30-17.50","9-11","Банківське право -  ст. викл. Кравченко Н.Г.","Лекція","4-317",
