"     ""Затверджую""",,,,,,,,
"     Декан факультету правничих наук                             Мелешевич А.А.",,,,,,,,
,,,,,,,,
"Розклад занять на додатковий період весняного семестру 2012/2013 н.р. ФПвН 1 р.н.",,,,,,,,
,,,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.",,,
,,,,,,,,
"Пн.","08.30-09.50","1-6","Англійська мова- Буреніна Т.Г.","А39","6-3",,,
,,"1-6","Англійська мова -  Долинська О.Р.","А40","2-403",,,
,,"1-6","Англійська мова - Харченко О.О.","А41","8-7",,,
,,"1-6","Англійська мова - Жукорська Л.П.","А42","4-313",,,
,,"1-6","Англійська мова - Гриців Т.С.","А43","8-6",,,
,"10.00-11.20",1,"Безпека життєдіяльності - доц. Пашков А.П.","Лекція","4-100",,,
,,"2-4,6","Конституційне право України -","Лекція","4-100",,,
,,,"доц.Савенко М.Д.",,,,,
,"11.40-13.00",1,"Безпека життєдіяльності - доц. Пашков А.П.","Лекція","4-100",,,
,,"3,4,6","Конституційне право України -",1,"4-317",,,
,,,"доц.Савенко М.Д.",,,,,
,"13.30-14.50",1.2,"Безпека життєдіяльності - доц. Пашков А.П.","Лекція","4-101",,,
,,"3-6","Безпека життєдіяльності - доц. Пашков А.П.",3,"4-319",,,
,,"3-6","Конституційне право України -",2,"4-317",,,
,,,"доц.Савенко М.Д.",,,,,
,"15.00-16.20","2-6","Безпека життєдіяльності - доц. Пашков А.П.",2,"4-319",,,
,,"1","Конституційне право України -","Лекція","4-101",,,
,,,"доц.Савенко М.Д.",,,,,
,,"5","Конституційне право України -",1,"4-321",,,
,,,"доц.Савенко М.Д.",,,,,
,,"3,4,6","Конституційне право України -",3,"4-314",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
,"16.30-17.50","2-6","Вступ до правових досліджень",1,"4-314",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
"Вт.","08.30-09.50","1--5","Історія міжнародного права","Лекція","4-101",,,
,,," - ст.викл. Курінний О.В.",,,,,
,,6.7,"Історія міжнародного права",1,"4-317",,,
,,," - ст.викл. Курінний О.В.",,,,,
,"10.00-11.20","1--5","Історія міжнародного права","Лекція","4-101",,,
,,," - ст.викл. Курінний О.В.",,,,,
,,6.7,"Історія міжнародного права",2,"4-317",,,
,,," - ст.викл. Курінний О.В.",,,,,
,"11.40-13.00","2","Юридична деонтологія і професійна етика - ","Лекція","4-101",,,
,,,"доц. Непийвода В.П.",,,,,
,,"4-7","Юридична деонтологія і професійна етика - ",2,"4-319",,,
,,,"доц. Непийвода В.П.",,,,,
,,6.7,"Історія міжнародного права",3,"4-317",,,
,,," - ст.викл. Курінний О.В.",,,,,
,"13.30-14.50","4-7","Юридична деонтологія і професійна етика - ",3,"4-319",,,
,,,"доц. Непийвода В.П.",,,,,
,,"1,2","Вступ до правових досліджень","Лекція","4-319",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
,"15.00-16.20","1-3","Історія політико-правових учень","Лекція","4-314",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
,,"4-7","Юридична деонтологія і професійна етика - ",1,"4-319",,,
,,,"доц. Непийвода В.П.",,,,,
,"16.30-17.50",2,"Логіка - ст. викл. Пухтецька А.А.","Лекція","4-100",,,
,,"3-5","Історія політико-правових учень",1,"4-314",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
"Ср.","08.30-09.50","1-6","Англійська мова- Буреніна Т.Г.","А39","6-3",,,
,,"1-6","Англійська мова -  Долинська О.Р.","А40","2-403",,,
,,"1-6","Англійська мова - Харченко О.О.","А41","8-7",,,
,,"1-6","Англійська мова - Жукорська Л.П.","А42","4-313",,,
,,"1-6","Англійська мова - Гриців Т.С.","А43","8-6",,,
,"10.00-11.20","1-6","Історія міжнародного права",1,"4-425",,,
,,," - ст.викл. Курінний О.В.",,,,,
,,"2-6","Безпека життєдіяльності - доц. Пашков А.П.",3,"4-317",,,"7 т залік"
,"11.40-13.00","1-6","Історія міжнародного права",3,"4-425",,,
,,," - ст.викл. Курінний О.В.",,,,,
,,"2-6","Безпека життєдіяльності - доц. Пашков А.П.",1,"4-317",,,"7 т залік"
,"13.30-14.50","1-6","Історія міжнародного права",2,"4-425",,,
,,," - ст.викл. Курінний О.В.",,,,,
,"15.00-16.20","2-6","Вступ до правових досліджень",1,"4-314",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
"Чт.","08.30-09.50",1,"Безпека життєдіяльності - доц. Пашков А.П.","Лекція","1-217",,,
,"10.00-11.20","2-5","Юридична деонтологія і професійна етика - ","Лекція","4-101",,,
,,,"доц. Непийвода В.П.",,,,,
,"11.40-13.00","2-6","Юридична деонтологія і професійна етика - ",1,"4-314",,,
,,,"доц. Непийвода В.П.",,,,,
,,"2,4,6","  Основи римського приватного права-",2,"4-317",,,
,,,"ст.викл. Солом'яний В.Р.",,,,,
,"13.30-14.50","2-6","Юридична деонтологія і професійна етика - ",3,"4-314",,,
,,,"доц. Непийвода В.П.",,,,,
,,"1","  Основи римського приватного права-","Лекція","4-100",,,
,,,"ст.викл. Солом'яний В.Р.",,,,,
,,"2,4,6","  Основи римського приватного права-",1,"4-317",,,
,,,"ст.викл. Солом'яний В.Р.",,,,,
,,"2-6","Логіка - ст. викл. Пухтецька А.А.",2,"4-319",,,
,"15.00-16.20","1","  Основи римського приватного права-","Лекція","4-100",,,
,,,"ст.викл. Солом'яний В.Р.",,,,,
,,"2-6","Юридична деонтологія і професійна етика - ",2,"4-314",,,
,,,"доц. Непийвода В.П.",,,,,
,,"2,4,6","  Основи римського приватного права-",3,"4-317",,,
,,,"ст.викл. Солом'яний В.Р.",,,,,
,,"2-6","Логіка - ст. викл. Пухтецька А.А.",1,"4-319",,,
,"16.30-17.50",3,"Логіка - ст. викл. Пухтецька А.А.","Лекція","4-100",,,
,,"5","  Основи римського приватного права-","Лекція","4-100",,,
,,,"ст.викл. Солом'яний В.Р.",,,,,
