"     ""Затверджую""",,,,,
"     Декан факультету правничих наук                             Мелешевич А.А.",,,,,
,,,,,
"Розклад занять на додатковий період весняного семестру 2012/13 н.р. ФПвН 3 р.н.",,,,,
,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд."
,,,,,
"Пн.","08.30-09.50","2","Право та суспільство - ст.викл. Климович О.В.","Лекція","4-100"
,"10.00-11.20","2,3","Кримінологія - проф. Костенко О.М.",2,"4-319"
,,"2-6","Права людини та їх захист-ст. викл. Венгер В.М.",3,"4-314"
,"11.40-13.00","2,3","Кримінологія - проф. Костенко О.М.",1,"4-319"
,,"2-6","Права людини та їх захист-ст. викл. Венгер В.М.",2,"4-314"
,"13.30-14.50","2-6","Спадкове право - ст. викл.Колінчук Х.Г.",3,"4-314"
,"15.00-16.20","2-6","Спадкове право - ст. викл.Колінчук Х.Г.",4,"4-317"
,"16.30-17.50","1--4","Міжнародне фінанс.право - ст.в.. Клименко А.Р.","Лекція","4-321"
,,"5","Міжнародне фінанс.право - ст.в.. Клименко А.Р.","1","4-321"
,,"6","Міжнародне фінанс.право - ст.в.. Клименко А.Р.","2","4-321"
"Вт.","08.30-09.50","2-6","Право та суспільство - ст.викл. Климович О.В.","Лекція","4-100"
,"10.00-11.20","3-7","Право та суспільство - ст.викл. Климович О.В.",2,"4-425"
,"11.40-13.00","3-7","Право та суспільство - ст.викл. Климович О.В.",1,"4-425"
,"13.30-14.50","2--7","Права людини та їх захист-доц. Савенко М.Д.",1,"4-321"
,,"3-7","Право та суспільство - ст.викл. Климович О.В.",3,"4-425"
,"15.00-16.20","1-5","Права людини та їх захист-доц. Савенко М.Д.","Лекція","4-101"
,"16.30-17.50","2--7","Права людини та їх захист-доц. Савенко М.Д.","4(2 р.н.)","4-425"
,,"2-7","Міжнародне фінанс.право - ст.в.. Клименко А.Р.","2","4-319"
"Ср.","08.30-09.50",,,,
,"10.00-11.20","1-5","Кримінологія - проф. Костенко О.М.","Лекція","4-101"
,"11.40-13.00","1-5","Кримінологія - проф. Костенко О.М.","Лекція","4-101"
,"13.30-14.50","2-6","Кримінологія - проф. Костенко О.М.",1,"4-317"
,,"2-7","Спадкове право - ст. викл. Солом`яний В.Р.","1(2 р.н.)","4-319"
,,"1","Спадкове право - ст. викл. Солом`яний В.Р.","Лекція","4-100"
,"15.00-16.20","2-6","Кримінологія - проф. Костенко О.М.",2,"4-317"
,,"1","Спадкове право - ст. викл. Солом`яний В.Р.","Лекція","4-100"
,,"2-7","Спадкове право - ст. викл. Солом`яний В.Р.","2(2 р.н.)","4-319"
,"16.30-17.50","1","Міжнародне фінанс.право - ст.в.. Клименко А.Р.","Лекція","4-321"
,,"2-7","Міжнародне фінанс.право - ст.в.. Клименко А.Р.","1","4-319"
