,,,,
,,,,
"""Затверджую""",,,,
"Декан факультету правничих наук                             Мелешевич А.А.",,,,
"          Розклад оглядових лекцій з навчальних дисциплін",,,,
"            для складання державних екзаменів студентів 4 р.н.",,,,
,,"2012-2013 н.р.",,
"День","Час","Дисципліна","Корпус, ауд.",
,,,,
"Пн.","15.00-16.20","   Теорія держави і права-доцент Цельєв О.В.","4-101","2.т "
"20.05.","16.30-17.50","Конституційне право України- проф.Савенко М.Д.","4-101",
"Вв.","10.00-11.20","Цивільне право- проф. Стефанчук Р.О.","4-319",
"21.05.","11.40-13.00","Цивільне право- проф. Стефанчук Р.О.","4-319",
,,"Кримінальне процесуальне право -проф. Галаган В.І.","4-317",
,"13.30-14.50","Адміністративне право і процес - доцент Іщенко Ю.В.","8--12",
,,"Кримінальне процесуальне право -проф. Галаган В.І.","4-317",
,,"Цивільне процесуальне право- доц. Ханик-Посполітак Р.Ю.","9--8",
,"15.00-16.20","Адміністративне право і процес - доцент Іщенко Ю.В.","8--12",
,,"Цивільне процесуальне право- доц. Ханик-Посполітак Р.Ю.","9--8",
,,"Кримінальне процесуальне право -проф. Галаган В.І.","4-317",
"Ср.","08.30-09.50",,,
"22.05","10.00-11.20","Адміністративне право і процес - доцент Іщенко Ю.В.","4-319",
,"11.40-13.00","Адміністративне право і процес - доцент Іщенко Ю.В.","4-319",
,"13.30-14.50","   Теорія держави і права-доцент Цельєв О.В.","4-100",
,"15.00-16.20","   Теорія держави і права-доцент Цельєв О.В.","4-100",
"Чт.","10.00-11.20","Адміністративне право і процес - доцент Іщенко Ю.В.","4-319",
"23.05",,"Цивільне процесуальне право- доц. Ханик-Посполітак Р.Ю.","9--8",
,"11.40-13.00","Адміністративне право і процес - доцент Іщенко Ю.В.","4-319",
,,"Цивільне процесуальне право- доц. Ханик-Посполітак Р.Ю.","9--8",
,"13.30-14.50","Конституційне право України- проф.Савенко М.Д.","4-100",
,"15.00-16.20","Конституційне право України- проф.Савенко М.Д.","4-100",
"Пт.","11.40-13.00","Цивільне процесуальне право- доц. Ханик-Посполітак Р.Ю.","4-321",
"24.05",,"Кримінальне право- доцент  Азаров Д.С.","4-319",
,"13.30-14.50","Кримінальне право- доцент  Азаров Д.С.","4-319",
"Пн.","10.00-11.20","Кримінальне право- доцент Азаров Д.С.","4-321","3 т."
"27.05.","11.40-13.00","Кримінальне право- доцент  Азаров Д.С.","4-321",
,"13.30-14.50","   Теорія держави і права-доцент Цельєв О.В.","4-101",
,"15.00-16.20","   Теорія держави і права-доцент Цельєв О.В.","4-101",
"Вв.","08.30-09.50","Адміністративне право і процес - доцент Іщенко Ю.В.","4-321",
"28.05.",,"Цивільне право- проф. Стефанчук Р.О.","4-317",
,"10.00-11.20","Адміністративне право і процес - доцент Іщенко Ю.В.","4-321",
,,"Цивільне право- проф. Стефанчук Р.О.","4-317",
,"11.40-13.00","Цивільне право- проф. Стефанчук Р.О.","4-317",
"Ср.","08.30-09.50","Кримінальне процесуальне право -проф. Галаган В.І.","4-319",
"29.05.","10.00-11.20","Кримінальне процесуальне право -проф. Галаган В.І.","4-319",
,"11.40-13.00",,,
"Чт.","13.30-14.50","Конституційне право України- проф.Савенко М.Д.","4-100",
"30.05","15.00-16.20","Конституційне право України- проф.Савенко М.Д.","4-100",
"Пт","10.00-11.20",,,
"31.05.","11.40-13.00","Адміністративне право і процес - доцент Іщенко Ю.В.","4-319",
,"13.30-14.50","Адміністративне право і процес - доцент Іщенко Ю.В.","4-319",
,,"Кримінальне право- доцент  Азаров Д.С.","4-321",
,,,,
,"Провідний спеціаліст деканату",,"Кучер В.П.",
