,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"     ""Затверджую""",,,,,,,
"     Декан факультету правничих наук                             Мелешевич А.А.",,,,,,,
,,,,,,,
"Розклад занять на осінній семестр 2012-13 н.р. ф-ту правничих наук 1р.н.",,,,,,,
,,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.",,
,,,,,,,
"Пн.","08.30-09.50","2-15","Англійська мова- Буреніна Т.Г.","А45","6-3",,
,,"2-15","Англійська мова - Долинська О.Р.","А46","2-403",,
,,"2-15","Англійська мова - Харченко О.О.","А47","8-7",,
,,"2-15","Англійська мова - Малайок Ю.М.","А48","8-6",,
,,"2-15","Англійська мова - ","А49",,,
,,"1","Застосування принципів Болонського ","Лекція","КМЦ",,
,,,"процесу в НаУКМА - проф. Брюховецький В.С."," ",,,
,"10.00-11.20","1","Застосування принципів Болонського ","Лекція","КМЦ",,
,,,"процесу в НаУКМА - проф. Брюховецький В.С."," ",,,
,,"2-15","Загальна теорія права - ст.викл.Матвєєва Ю.І.",1,"4-317",,
,,"3-15","Історія України - асист. Широкова І.В.",2,"4-319",,
,"11.40-13.00","2-15","Загальна теорія права - ст.викл.Матвєєва Ю.І.",2,"4-317",,
,,"3-15","Історія України - асист. Широкова І.В.",1,"4-319",,
,"13.30-14.50","2-15","Загальна теорія права - ст.викл.Матвєєва Ю.І.",3,"4-317",,
"Вт.","08.30-09.50","2-14","Фізичне виховання",,,,
,"10.00-11.20","1-14","Фізичне виховання",,"1 т. 4-101",,
,"11.40-13.00","1-14","Філософія- доц. Лисий І.Я.","Лекція","4-100",,
,"13.30-14.50","1","Історія України - ст.викл. Михайловський В.М.","Лекція","4-100",,
,,"3-14","Українська мова - доц. Голосовська Г.Г.",1,"8-11",,
,,"2-15","Філософія- доц. Лисий І.Я.",2,"4-317",,
,,"2","Застосування принципів Болонського ",3,"4-314",,
,,"4","процесу в НаУКМА - Бондаренко Н.Б.,Корольова ОГ.О.",,"4-319",,
,"15.00-16.20","1","Історія України - ст.викл. Михайловський В.М.","Лекція","4-100",,
,,"2","Застосування принципів Болонського ",2,"4-314",,
,,,"процесу в НаУКМА - Бондаренко Н.Б.,Корольова ОГ.О.",,,,
,,"3-14","Українська мова - доц. Голосовська Г.Г.",3,"8-11",,
,,"2-15","Філософія- доц. Лисий І.Я.",1,"4-317",,
,"16.30-17.50","3-14","Українська мова - доц. Голосовська Г.Г.",2,"8-11",,
"Ср.","08.30-09.50","3,5,7","Історія держави і права України -",2,"4-317",,
,,"9-13","ст. викл.Курінний О.В.",,,,
,,"1,2","Філософія- доц. Лисий І.Я.","Лекція","4-101",,
,"10.00-11.20","1-14","Загальна теорія права- доц. Цельєв О.В.","Лекція","4-100",,
,"11.40-13.00","1-11","Історія держави і права України -","Лекція","4-100",,
,,,"доц. Журбелюк Г.В.",,,,
,,"12,14","Історія держави і права України -",3,"4-317",,
,,,"доц. Журбелюк Г.В.",,,,
,"13.30-14.50","1--4","Юридична термінологія- доц.Артикуца Н.В.","Лекція","9-29",,
,,"3,5,7","Історія держави і права України -",1,"4-317",,
,,"10,12,14","доц. Журбелюк Г.В.",,,,
,,"2,4,6,9,","Історія держави і права України -",3,"4-317",,
,,"11,13","доц. Журбелюк Г.В.",,,,
,"15.00-16.20","1","Застосування принципів Болонського ","Лекція","КМЦ",,
,,,"процесу в НаУКМА - проф. Брюховецький В.С."," ",,,
,,"3-15","Історія України - ст.викл. Михайловський В.М.",3,"4-319",,
,,"2","Застосування принципів Болонського ",1,"4-314",,
,,,"процесу в НаУКМА - Бондаренко Н.Б.,Корольова ОГ.О.",,,,
,,"9,11","Історія держави і права України -",1,"4-317",,
,,,"доц. Журбелюк Г.В.",,,,
,"16.30-17.50","2 т","Українська мова - доц. Голосовська Г.Г.","Лекція","4-100",,
,,"1,3-14","Історія України - ст.викл. Михайловський В.М.","Лекція","4-100",,
"Чт.","08.30-09.50","1-12","Історія держави і права ","Лекція","4-100",,
,,,"зарубіжних країн- ст. викл. Шмарьова Т.О.",,,,
,"10.00-11.20","1,2,3,4","Застосування принципів Болонського ",3,"бібл.",,
,,,"процесу в НаУКМА - ст. викл. Ярошенко Т.О.",,,,
,,"4-14","Історія держави і права ",1,"4-317",,
,,,"зарубіжних країн- ст. викл. Шмарьова Т.О.",,,,
