"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд."
,,,,,,,
"Пн.","10.00-11.20","1-7,10-12","Кримінальне процесуальне право-","Лекція","9-29"
,,,"проф. Галаган В.І.",,
,"11.40-13.00","1-7,10-12","Криміналістика- проф. Галаган В.І.","Лекція","4-100"
,"13.30-14.50","1-3","Адміністративний процес- доц. Іщенко Ю.В.","Лекція","4-101"
,,"4-11","Адміністративний процес- доц. Іщенко Ю.В.",3,"4-319"
,"15.00-16.20","4-11","Адміністративний процес- доц. Іщенко Ю.В.",2,"4-319"
,"16.30-17.50","4-11","Адміністративний процес- доц. Іщенко Ю.В.",1,"4-319"
"Вт.","08.30-09.50","1-7","Конкурентне право- ст. викл.Шкляр С.В.","Лекція","4-319"
,,"9-13","Конкурентне право- ст. викл.Шкляр С.В.",1,"4-319"
,"10.00-11.20",,,,
,"11.40-13.00","1-13","Міжнародне приватне право -","Лекція","9-8"
,,,"ст. викл. Солом'яний В.Р.",,
,,"4-6,","Криміналістика- доц. Сущенко В.М.",1,"4-308"
,,"9-11,13",,,
,"13.30-14.50","4-6,","Криміналістика- доц. Сущенко В.М.",5,"4-308"
,,"9-11,13",,,
,,"9-13","    Господарське процесуальне право",3,"9-8"
,,,"   доц. Логуш Л.В.",,
,"15.00-16.20","2-11","Екологічне право -доц. Краснова М.В.","Лекція","4-100"
,"16.30-17.50","1","Екологічне право -доц. Краснова М.В.","Лекція","4-100"
,,"2-11","Екологічне право -доц. Краснова М.В.",3,"4-317"
"Ср.","08.30-09.50","1-11","Податкове право  - ст. викл. Лобач О.М.","Лекція","4-321"
,"10.00-11.20","3-14","Податкове право  - ст. викл. Лобач О.М.",1,"4-321"
,,"2-14","Кримінальне процесуальне право-",1,"9-8"
,,,"ст. викл. Мокрицька І.Я",,
,"11.40-13.00","4-6,","Криміналістика- доц. Сущенко В.М.",6,"4-308"
,,"9-11,13",,,
,,"2-14","Кримінальне процесуальне право-",2,"9-8"
,,,"ст. викл. Мокрицька І.Я",,
,"13.30-14.50","1,3-7","   Права людини і біомедицина - ","Лекція","4-425"
,,"9-13"," ст. викл.  Черненко З.С.",1,"4-425"
,,"2-14","Кримінальне процесуальне право-",3,"9-8"
,,,"ст. викл. Мокрицька І.Я",,
,"15.00-16.20","1","   Права людини і біомедицина - ","Лекція","4-425"
,,," ст. викл.  Черненко З.С.",,
,,"4-6,","Криміналістика- доц. Сущенко В.М.",2,"4-308"
,,"9-11,13",,,
,"16.30-17.50","1-6","Судова медицина та психіатрія-","Лекція","4-321"
,,,"    проф.Михайличенко В.Б.",,
,,"7-13","Судова медицина та психіатрія-",1,"4-321"
,,,"    ст. викл. Біляков А.М.",,
"Чт.","10.00-11.20","1-3","Кримінальне процесуальне право-","Лекція","4-100"
,,,"проф. Галаган В.І.",,
,,"4-14","Міжнародне приватне право -",1,"4-100"
,,,"ст. викл. Солом'яний В.Р.",,
,,"4-6,","Криміналістика- доц. Сущенко В.М.",3,"4-308"
,,"9-11,13",,,
,"11.40-13.00","1-4","Окремі види договірних зобов`язань -","Лекція","4-321"
,,,"   ст. викладач Гадомський Д.В.",,
,,"5-11","Окремі види договірних зобов`язань -",1,"8-12"
,,,"   ст. викладач Гадомський Д.В.",,
,"13.30-14.50","1-3","Окремі види договірних зобов`язань -","Лекція","4-321"
,,,"   ст. викладач Гадомський Д.В.",,
,,"5-11","Окремі види договірних зобов`язань -",2,"8-12"
,,,"   ст. викладач Гадомський Д.В.",,
,,"4-6,","Криміналістика- доц. Сущенко В.М.",4,"4-308"
,,"9-11,13",,,
,"15.00-16.20","1-3","Адміністративний процес- доц. Іщенко Ю.В.","Лекція","4-101"
,,"4-6","Земельне право - доц. Поліводський О.А.","Лекція","4-321"
,,"7-11","Земельне право - доц. Поліводський О.А.",1,"4-321"
,"16.30-17.50","1-5","Земельне право - доц. Поліводський О.А.","Лекція","4-321"
"Пт.","08.30-09.50","2-11","Екологічне право -доц. Краснова М.В.",2,"4-317"
,"10.00-11.20","9-13","    Господарське процесуальне право",2,"4-321"
,,,"   доц. Логуш Л.В.",,
,,"2-11","Екологічне право -доц. Краснова М.В.",1,"4-100"
,"11.40-13.00","1-7","    Господарське процесуальне право","Лекція","4-101"
,,,"   доц. Логуш Л.В.",,
,,"9-13","    Господарське процесуальне право",1,"4-321"
,,,"   доц. Логуш Л.В.",,
,"13.30-14.50","2-14","Юридичний практикум - ст.викл. Матвєєва Ю.І.",1,"9-4"
,"15.00-16.20","2-14","Юридичний практикум - ст.викл. Матвєєва Ю.І.",2,"9-4"
,,,,,
" ",,"Провідний спеціаліст деканату",,,"Кучер В.П."
