,,,,,
"     ""Затверджую""",,,,,
"     Декан факультету правничих наук                             Мелешевич А.А.",,,,,
,,,,,
"Розклад занять на осінній семестр 2012-13 н.р. МП ""Правознавство"" 6 р.н.",,,,,
,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд."
,,,,,
"Пн.","08.30-09.50","1-7","Деліктні зобов`язання в цивільному праві - ","Лекція","4-314"
,,,"проф. Стефанчук Р.О.",,
,,"9-15","Деліктні зобов`язання в цивільному праві - ","1","4-314"
,,,"проф. Стефанчук Р.О.",,
,"10.00-11.20","1-9","Методика викладання правознавства ","Лекція","4-314"
,,,"у вищій школі - доц. Сущенко В.М.",,
,,"10-13","Методика викладання правознавства ",1,"4-314"
,,,"у вищій школі - доц. Сущенко В.М.",,
,"11.40-13.00",,,,
,"13.30-14.50","1-9","Теоретичні проблеми підприємницького","Лекція","4-314"
,,,"права - ст. викл. Карнаух Т.М.",,
,,"10-15","Теоретичні проблеми підприємницького",1,"4-314"
,,,"права - ст. викл. Карнаух Т.М.",,
,"15.00-16.20","6,7","Юридична компаративістика - проф. Б. Футей","Лекція","4-314"
"Вт.","08.30-09.50","1-14","Академічне письмо для юристів- Хименко С.А.",1,"8-4"
,"10.00-11.20","1-14","Академічне письмо для юристів- Хименко С.А.",2,"8-4"
,,"7-13","Право зовнішніх відносин ЄС- доц. Петров Р.А.",1,"8--12"
,"11.40-13.00","1-6","Право зовнішніх відносин ЄС- доц. Петров Р.А.","Лекція","4-319"
,,"7-13","Право зовнішніх відносин ЄС- доц. Петров Р.А.",2,"8--12"
,"13.30-14.50","1.2","Право зовнішніх відносин ЄС- доц. Петров Р.А.","Лекція","4-319"
,,"3-9","Основи права ЄС- доц. Петров Р.А.","Лекція","4-314"
,,"10-14","Основи права ЄС- доц. Петров Р.А.",1,"4-314"
,"15.00-16.20","6,7","Юридична компаративістика - проф. Б. Футей","Лекція","4-314"
,"16.30-17.50","7","Юридична компаративістика - проф. Б. Футей",1,"4-314"
"Ср.","08.30-09.50","1-11","Актуальні проблеми цивільного права - ","Лекція","4-319"
,,,"доц. Федорчук Д.Е.",,
,,"12","Деліктні зобов`язання в цивільному праві - ","Лекція","4-319"
,,,"проф. Стефанчук Р.О.",,
,"10.00-11.20","1--4","Філософія права- проф. Козюбра М.І.","Лекція","4-319"
,,"5.","Філософія права- проф. Козюбра М.І.","Лекція","4-319"
,,"6-14","Філософія права- проф. Козюбра М.І.",1,"4-319"
,"11.40-13.00","1-5","Практика Європейського суду з прав ","Лекція","4-317"
,,,"людини -  проф. Шевчук С.В.",,
,,"6-14","Філософія права- проф. Козюбра М.І.",2,"4-319"
,"13.30-14.50","1-5","Практика Європейського суду з прав ","Лекція","4-314"
,,,"людини -  проф. Шевчук С.В.",,
,,"6-14","Практика Європейського суду з прав ",1,"4-314"
,,,"людини -  проф. Шевчук С.В.",,
,"15.00-16.20","1-6","Правнича лінгвістика - доц. Артикуца Н.В.","Лекція","9--29"
,,"7-15","Правнича лінгвістика - доц. Артикуца Н.В.",1,"9--29"
,"16.30-17.50","6","Юридична компаративістика - проф. Б. Футей","Лекція","4-314"
,,"7","Юридична компаративістика - проф. Б. Футей",1,"4-314"
"Чт.","08.30-09.50","1-14","Академічне письмо для юристів- Хименко С.А.",1,"8-4"
,,"6-14","Актуальні проблеми цивільного права - ",2,"9-8"
,,,"доц. Федорчук Д.Е.",,
,"10.00-11.20","1-14","Академічне письмо для юристів- Хименко С.А.",2,"8-4"
,,"6-14","Актуальні проблеми цивільного права - ",1,"9-8"
,,,"доц. Федорчук Д.Е.",,
,"11.40-13.00","2-4","Правнича лінгвістика - доц. Артикуца Н.В.",1,"9--29"
,"13.30-14.50","1-5","Філософія права- проф. Козюбра М.І.","Лекція","4-314"
,,"10-15","Теоретичні проблеми підприємницького",2,"4-314"
,,,"права - ст. викл. Карнаух Т.М.",,
,,"6,7","Юридична компаративістика - проф. Б. Футей",1,"4-314"
"Пт.","11.40-13.00","6,7","Юридична компаративістика - проф. Б. Футей",1,"4-319"
,"13.30-14.50","6","Юридична компаративістика - проф. Б. Футей","Лекція","4-319"
,,,,,
,,,,,
,"Провідний спеціаліст деканату",,,"Кучер В.П.",
