,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"     ""Затверджую""",,,,,,,,,
"     Декан факультету правничих наук                            Мелешевич А.А.",,,,,,,,,
,,,,,,,,,
"Розклад занять на весняний семестр 2012-13 н.р. факультетуту правничих наук 1р.н.",,,,,,,,,
,,,,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.",,,,
,,,,,,,"15 тижнів",,
"Пн.","08.30-09.50","1-14","Англійська мова- Буреніна Т.Г.","А39","6-3",,,,
,,"1-14","Англійська мова - Долинська О.Р.","А40","2-403",,,,
,,"1-14","Англійська мова - Харченко О.О.","А41","8-7",,,,
,,"1-14","Англійська мова - Жукорська Л.П","А42","4-313",,,,
,,"1-14","Англійська мова - Малайок Ю.М.","А43","8-6",,,,
,"10.00-11.20","2-15","Загальна теорія права- ст.викл. Матвєєва Ю.І.",1,"4-317",,,,
,"11.40-13.00","2-15","Загальна теорія права- ст.викл. Матвєєва Ю.І.",2,"4-317",,,,
,"13.30-14.50","2-15","Загальна теорія права- ст.викл. Матвєєва Ю.І.",3,"4-317",,,,
"Вт.","08.30-09.50","1-15","Фізичне виховання",,,,,,
,"10.00-11.20","1-15","Фізичне виховання",,,,,,
,"11.40-13.00","1-7","Конституційне право України -","Лекція","1-217",,,,
,,,"доц.Савенко М.Д.",,,,,,
,,"10-14","Конституційне право України -",1,"4-317",,,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,,
,"13.30-14.50","1-9","Екологія- ст.викл. Васильківський Б.С.","Лекція","4-101",,,,
,,"10-14","Конституційне право України -",2,"4-317",,,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,,
,"15.00-16.20","1-7","Історія політико-правових учень","Лекція","4-314",,,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,,
,,"10-14","Конституційне право України -",3,"4-317",,,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,,
,"16.30-17.50","9-13","Історія політико-правових учень",1,"4-314",,,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,,
"Ср.","08.30-09.50","2-15","Історія держави і права України -",2,"4-317",,,,
,,,"ст.викл. Курінний О.",,,,,,
,,"4-14","Історія держави і права ",1,"4-319",,,,
,,,"зарубіжних країн- ст. викл. Шмарьова Т.О.",,,,,,
,"10.00-11.20","7-14","Судові та правоохоронні органи - ",1,"4-317",,,,
,,,"проф. Галаган В.І.",,,,,,
,,"4-14","Історія держави і права ",3,"4-319",,,,
,,,"зарубіжних країн- ст. викл. Шмарьова Т.О.",,,,,,
,"11.40-13.00","1-3","Основи римського права - ст.викл.Солом'яний В.Р.","Лекція","4-101",,,,
,,"6--13","Судові та правоохоронні органи - ","Лекція","4-101",,,,
,,,"проф. Галаган В.І.",,,,,,
,,"4,5","Історія держави і права України -","Лекція","4-101",,,,
,,,"доц. Журбелюк Г.В.",,,,,,
,"13.30-14.50","3-6","Основи римського права - ст.викл.Солом'яний В.Р.","Лекція","4-100",,,,
,,"7-14","Судові та правоохоронні органи - ",3,"4-317",,,,
,,,"проф. Галаган В.І.",,,,,,
,"15.00-16.20","7-14","Судові та правоохоронні органи - ",2,"4-317",,,,
,,,"проф. Галаган В.І.",,,,,,
"Чт.","08.30-09.50","1-12","Історія держави і права ","Лекція","4-101",,,,
,,,"зарубіжних країн- ст. викл. Шмарьова Т.О.",,,,,,
,"10.00-11.20","4-14","Історія держави і права ",2,"4-319",,,,
,,,"зарубіжних країн- ст. викл. Шмарьова Т.О.",,,,,,
,,"2-15","Історія держави і права України -",3,"4-317",,,,
,,,"доц. Журбелюк Г.В.",,,,,,
,"11.40-13.00","1-14","Історія держави і права України -","Лекція","4-100",,,,
,,,"доц. Журбелюк Г.В.",,,,,,
,"13.30-14.50","2-15","Історія держави і права України -",1,"4-314",,,,
,,,"доц. Журбелюк Г.В.",,,,,,
,"15.00-16.20","1-14","Фізичне виховання",,,,,,
"Пт.","08.30-09.50","1-14","Англійська мова- Буреніна Т.Г.","А39","6-3",,,,
,,"1-14","Англійська мова - Долинська О.Р.","А40","2-403",,,,
,,"1-14","Англійська мова - Харченко О.О.","А41","8-7",,,,
,,"1-14","Англійська мова - Жукорська Л.П","А42","4-313",,,,
,,"1-14","Англійська мова - Малайок Ю.М.","А43","8-6",,,,
,"10.00-11.20","1-11","Загальна теорія права- доц. Цельєв О.В.","Лекція","4-100",,,,
,"11.40-13.00","9-14","Екологія- ас. Халаїм О.О.",3,"4-319",,,,
,,"9-13","Основи римського права - ст.викл.Солом'яний В.Р.",1,"4-321",,,,
,,"12-14","Загальна теорія права- ст.викл. Матвєєва Ю.І.",2,"4-317",,,,
,"13.30-14.50","9-14","Екологія- ас. Халаїм О.О.",2,"4-319",,,,
,,"9-13","Основи римського права - ст.викл.Солом'яний В.Р.",3,"4-321",,,,
