,,,,,,
,,,,,,
"     ""Затверджую""",,,,,,
"     Декан факультету правничих наук                            Мелешевич А.А.",,,,,,
,,,,,,
"Розклад занять на весняний cеместр 2012-13 н.р. факультету правничих наук 2 р.н.",,,,,,
,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.",
,,,,,,"15 тижнів"
"Пн.","08.30-09.50","1-14","Англійська мова- Залєська Л.М.","А63","2-404",
,,"1-14","Англійська мова- Тригуб О.І.","А64","8-8",
,,"1-14","Англійська мова - Бражник Н.В.","А65","3-309",
,"10.00-11.20","3-13","Конституційне право зарубіжних ","Лекція","4-321",
,,,"країн - доц.Князевич Р..",,,
,"11.40-13.00","1-13","Кримінальне право- доц. Азаров Д.С.","Лекція","4-321",
,"13.30-14.50","1-12","Кримінальне право- доц. Азаров Д.С.","Лекція","4-321",
,,"14","Українська мова за професійним ",2,"8-11",
,,,"спрямуванням - доц. Голосовська Г.Г.",,,
,"15.00-16.20","2-14","Кримінальне право- доц. Горох О.П.",1,"4-314",
,,"14","Українська мова за професійним ",3,"8-11",
,,,"спрямуванням - доц. Голосовська Г.Г.",,,
,"16.30-17.50","2-14","Кримінальне право- доц. Горох О.П.",2,"4-314",
,,"14","Українська мова за професійним ",1,"8-11",
,,,"спрямуванням - доц. Голосовська Г.Г.",,,
"Вт.","08.30-09.50","1-11","Цивільне право - проф.Стефанчук Р.О.","Лекція","4-321",
,"10.00-11.20","1-11","Цивільне право - проф.Стефанчук Р.О.","Лекція","4-321",
,"11.40-13.00","2-14","Цивільне право - доц. Дзера І.О.",1,"4-321",
,,"4-14","Конституційне право зарубіжних ",2,"4-319",
,,,"країн - cт.викл. Черненко З.С.",,,
,"13.30-14.50","2-14","Цивільне право - доц. Дзера І.О.",2,"4-321",
,,"4-14","Конституційне право зарубіжних ",1,"4-319",
,,,"країн - cт.викл. Черненко З.С.",,,
,"15.00-16.20","1-6","Політологія - проф. Якушик В.М.","Лекція","4-101",
,"16.30-17.50","1-7","Політологія - проф. Якушик В.М.","Лекція","4-101",
"Ср.","08.30-09.50",,,,,
,"10.00-11.20","1-15","Адміністративне право -","Лекція","4-321",
,,,"ст.викл. Пухтецька А.А.",,,
,"11.40-13.00","1","Адміністративне право -","Лекція","4-321",
,,,"ст.викл. Пухтецька А.А.",,,
,,"3-15","Адміністративне право -",1,"4-321",
,,,"ст.викл. Пухтецька А.А.",,,
,,"7-14","Кримінальне право- доц. Горох О.П.",2,"4-425",
,"13.30-14.50","3-15","Адміністративне право -",2,"4-321",
,,,"ст.викл. Пухтецька А.А.",,,
,,"7-14","Кримінальне право- доц. Горох О.П.",1,"4-314",
,"15.00-16.20","1-15","Фізичне виховання",,,
"Чт.","08.30-09.50",,,,,
,"10.00-11.20","1-15","Українська мова за професійним ",2,"8-11",
,,,"спрямуванням - доц. Голосовська Г.Г.",,,
,"11.40-13.00","1-15","Українська мова за професійним ",1,"8-11",
,,,"спрямуванням - доц. Голосовська Г.Г.",,,
,"13.30-14.50","7-14","Цивільне право - доц. Дзера І.О.",1,"4-321",
,,"1-15","Українська мова за професійним ",3,"8-11",
,,,"спрямуванням - доц. Голосовська Г.Г.",,,
,"15.00-16.20","7-14","Цивільне право - доц. Дзера І.О.",2,"4-321",
,,"2,4,6,8,10,12","Політологія - Трегуб О.І.",1,"4-317",
,"16.30-17.50","2,4,6,8,10,12","Політологія - Трегуб О.І.",2,"4-317",
"Пт.","08.30-09.50","1-14","Англійська мова- Залєська Л.М.","А63","2-404",
,,"1-14","Англійська мова- Тригуб О.І.","А64","8-8",
,,"1-14","Англійська мова - Бражник Н.В.","А65","3-309",
,"10.00-11.20",,,,,
,"11.40-13.00","1-14","Фізичне виховання",,,
,"13.30-14.50",,,,,
,"Провідний спеціаліст деканату",,,"В.П. Кучер",,
