,,,,,,
,,,,,,
"     ""Затверджую""",,,,,,
"     Декан факультету правничих наук                            Мелешевич А.А.",,,,,,
,,,,,,
"Розклад занять на весняний семестр 2012-13 н.р. ф-ту правничих наук 3 р.н.",,,,,,
,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.",
,,,,,,
"Пн.","08.30-09.50","1-12","Фінансове право- ст.викл. Кравченко Н.Г.","Лекція","4-101","15 тижнів"
,,"13.14","Права людини та їх захист - ",3,"4-321",
,,,"ст. викл. Венгер В.М.",,,
,"10.00-11.20","5-14","Фінансове право- ст.викл. Кравченко Н.Г.",3,"4-319",
,,"13.14","Права людини та їх захист - ",2,"4-321",
,,,"ст. викл. Венгер В.М.",,,
,,"1","Основи ораторського мистецтва -","Лекція","9-29",
,,,"доц. Артикуца Н.В.",,,
,,"10-15","   Сімейне право -ст. викл. Колінчук Х.Г.",1,"4-425",
,"11.40-13.00","1-9","   Сімейне право -ст. викл. Колінчук Х.Г.","Лекція","4-100",
,,"10-15","   Сімейне право -ст. викл. Колінчук Х.Г.",2,"4-425",
,"13.30-14.50","1-12","Основи підприємницького права- ","Лекція","4-100",
,,,"ст.викл. Карнаух Т.М.",,,
,"15.00-16.20","1-10","Цивільне процесуальне право-","Лекція","4-101",
,,,"доц. Ханик-Посполітак Р.Ю.",,,
,"16.30-17.50","1,2","Цивільне процесуальне право-","Лекція","4-101",
,,,"доц. Ханик-Посполітак Р.Ю.",,,
"Вт.","08.30-09.50","1-15","Трудове право- доц. Костюк В.Л.","Лекція","4-101",
,"10.00-11.20","1,2","Трудове право- доц. Костюк В.Л.","Лекція","4-101",
,,"3-15","Кримінальне право- доц. Горох О.П.",3,"4-314",
,,"1-15","Основи ораторського мистецтва -",1,"9-29",
,,,"доц. Артикуца Н.В.",,,
,,"6,7,9","Цивільне процесуальне право-",1,"9-8",
,,,"доц.Ханик-Посполітак Р.Ю.",,,
,"11.40-13.00","3-15","Кримінальне право- доц. Горох О.П.",1,"4-314",
,,"1-15","Основи ораторського мистецтва -",2,"9-29",
,,,"доц. Артикуца Н.В.",,,
,,"6,7,9","Цивільне процесуальне право-",2,"9-8",
,,,"доц.Ханик-Посполітак Р.Ю.",,,
,"13.30-14.50","2,4,6,9,","Забезпечення виконання зобов'язань -",2,"4-425",
,,"11--15","доц. Федорчук Д.Е.",,,
,,"3,5,7,10","Забезпечення виконання зобов'язань -",1,"4-425",
,,,"доц. Федорчук Д.Е.",,,
,,"6,7,9","Цивільне процесуальне право-",3,"4-314",
,,,"доц.Ханик-Посполітак Р.Ю.",,,
,,"1-15","Основи ораторського мистецтва -",3,"9-29",
,,,"доц. Артикуца Н.В.",,,
,"15.00-16.20","1-6","Політологія - проф. Якушик В.М.","Лекція","4-101",
,,"7-12","Права людини та їх захист - ","Лекція","4-101",
,,,"доц. Савенко М.Д.",,,
,,"13.14","Права людини та їх захист - ",4,"4-319",
,,,"доц. Савенко М.Д.","(2 р.н.)",,
,"16.30-17.50","1-7","Політологія - проф. Якушик В.М.","Лекція","4-101",
,,"13.14","Права людини та їх захист - ",1,"4-319",
,,,"доц. Савенко М.Д.",,,
"Ср.","08.30-09.50","1","Трудове право- доц. Костюк В.Л.","Лекція","4-100",
,,"2-15","Трудове право- ст. викл. Яцкевич І.І.",3,"4-314",
,,"4-14","Основи підприємницького права- ",1,"8-12",
,,,"ст.викл. Карнаух Т.М.",,,
,"10.00-11.20","3-12","Європейське право з прав людини -","Лекція","4-314",
,,,"ст. викл. Климович О.В.",,,
,,"1-15","Основи ораторського мистецтва -",4,"9-29",
,,,"доц. Артикуца Н.В.",,,
,"11.40-13.00","2-14","Кримінальне право- доц. Азаров Д.С",2,"4-314",
,,"3,5,7,9,11,13","Політологія - Трегуб О.І.",3,"8-12",
,,"1-15","Основи ораторського мистецтва -",5,"9-29",
,,,"доц. Артикуца Н.В.",,,
,"13.30-14.50","1-6","Кримінальне право- доц. Азаров Д.С.","Лекція","4-101",
,,"7-11","Європейське право з прав людини -",1,"8-12",
,,,"ст. викл. Климович О.В.",,,
,"15.00-16.20","1-5","Кримінальне право- доц. Азаров Д.С.","Лекція","4-101",
,,"6--10","Міжнародне довкільне право","Лекція","4-314",
,,,"доц. Непийвода В.П.",,,
,"16.30-17.50","1,2,6,9","Навчально-науковий семінар-",1,"4-314",
,,"11,13,15","доц. Антонович М.М.",,,
"Чт.","08.30-09.50","2-15","Трудове право- ст. викл. Яцкевич І.І.",1,"8-12",
,,"1","Трудове право- доц. Костюк В.Л.","Лекція","4-100",
,"10.00-11.20","2-15","Трудове право- ст. викл. Яцкевич І.І.",2,"8-12",
,,"1-15","Основи ораторського мистецтва -",6,"9-29",
,,,"доц. Артикуца Н.В.",,,
,"11.40-13.00","1--3","Міжнародне довкільне право","Лекція","4-314",
,,,"доц. Непийвода В.П.",,,
,,"4--14","Міжнародне довкільне право",1,"4-314",
,,,"доц. Непийвода В.П.",,,
,,"1-15","Основи ораторського мистецтва -",7,"9-29",
,,,"доц. Артикуца Н.В.",,,
,"13.30-14.50","1--10","Забезпечення виконання зобов'язань -","Лекція","4-101",
,,,"доц. Федорчук Д.Е.",,,
,,"11--15","Забезпечення виконання зобов'язань -",1,"4-319",
,,,"доц. Федорчук Д.Е.",,,
,,"1-15","Основи ораторського мистецтва -",8,"9-29",
,,,"доц. Артикуца Н.В.",,,
,"15.00-16.20","3,5,7,9,11,13","Політологія - Трегуб О.І.",1,"4-317",
,"16.30-17.50","3,5,7,9,11,13","Політологія - Трегуб О.І.",2,"4-317",
"Пт.","08.30-09.50","5-14","Фінансове право- ст.викл. Кравченко Н.Г.",1,"4-319",
,,"4","Трудове право- доц. Костюк В.Л.","Лекція","4-101",
,"10.00-11.20","5-14","Фінансове право- ст.викл. Кравченко Н.Г.",2,"4-319",
,,"2-13","Цивільне процесуальне право-",3,"9-8",
,,,"доц.Ханик-Посполітак Р.Ю.",,,
,"11.40-13.00","2-13","Цивільне процесуальне право-",2,"9-8",
,,,"доц.Ханик-Посполітак Р.Ю.",,,
