,,,,,,,,,,,,
,,,,,,,,,,,,
"     ""Затверджую""",,,,,,,,,,,,
"     Декан факультету правничих наук                            Мелешевич А.А.",,,,,,,,,,,,
,,,,,,,,,,,,
"Розклад занять на весняний триместр 2012-13 н.р. факультету правничих наук 4 р.н.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.",,,,,,,
,,,,,,"11 тижнів",,,,,,
"Пн.","10.00-11.20","2-11","Кримінальне процесуальне ","Лекція","4-101",,,,,,,
,,,"право -проф. Галаган В.І.",,,,,,,,,
,"11.40-13.00","2-8","Криміналістика - проф. Галаган В.І.","Лекція","4-101",,,,,,,
,,"9-11","Кримінальне процесуальне ","Лекція","4-101",,,,,,,
,,,"право -проф. Галаган В.І.",,,,,,,,,
,"13.30-14.50","2-7","Корпоративне право - ","Лекція","4-425",,,,,,,
,,,"ст. викл. Абрамов Я.",,,,,,,,,
,,"8-11","Кримінальне процесуальне право-",2,"9-8",,,,,,,
,,,"ст. викл. Мокрицька І.Я",,,,,,,,,
,"15.00-16.20","2","Корпоративне право - ","Лекція","4-425",,,,,,,
,,,"ст. викл. Абрамов Я.",,,,,,,,,
,,"3-7","Корпоративне право - ",1,"4-425",,,,,,,
,,,"ст. викл. Абрамов Я.",,,,,,,,,
,,"8-11","Кримінальне процесуальне право-",3,"9-8",,,,,,,
,,,"ст. викл. Мокрицька І.Я",,,,,,,,,
,"16.30-17.50","3-7","Корпоративне право - ",2,"4-425",,,,,,,
,,,"ст. викл. Абрамов Я.",,,,,,,,,
,,"8-11","Кримінальне процесуальне право-",1,"9-8",,,,,,,
,,,"ст. викл. Мокрицька І.Я",,,,,,,,,
"Вт.","08.30-09.50","1-3,5-9","Медичне право - ст.викл. Черненко З.В.","Лекція","4-317",,,,,,,
,"10.00-11.20","1","Медичне право - ст.викл. Черненко З.В.","Лекція","4-317",,,,,,,
,,"2,3,5-11","Медичне право - ст.викл. Черненко З.В.",1,"4-317",,,,,,,
,,"4-10","Криміналістика- доц. Сущенко В.М.",5,"4-308",,,,,,,
,"11.40-13.00","1","    Захист у кримінальній справі -","Лекція","4-314",,,,,,,
,,,"    ст.викл. Горох О.П.",,,,,,,,,
,,"4-10","Криміналістика- доц. Сущенко В.М.",4,"4-308",,,,,,,
,"13.30-14.50","1-6","    Захист у кримінальній справі -","Лекція","4-314",,,,,,,
,,,"    ст.викл. Горох О.П.",,,,,,,,,
,"15.00-16.20","2-6","    Захист у кримінальній справі -",1,"4-317",,,,,,,
,,,"    доц. Горох О.П.",,,,,,,,,
"Ср.","08.30-09.50",,,,,,,,,,,
,"10.00-11.20","2-11","Кримінальне процесуальне право-",2,"9-8",,,,,,,
,,,"ст. викл. Мокрицька І.Я",,,,,,,,,
,,"4-10","Криміналістика- доц. Сущенко В.М.",1,"4-308",,,,,,,
,"11.40-13.00","2-11","Кримінальне процесуальне право-",3,"9-8",,,,,,,
,,,"ст. викл. Мокрицька І.Я",,,,,,,,,
,,"4-11","Житлове право - ст. викл. Солом'яний В.Р.",2,"4-317",,,,,,,
,"13.30-14.50","2-4,7-11","Міжнародне право захисту прав людини -","Лекція","4-425",,,,,,,
,,,"доц. Антонович М.М.",,,,,,,,,
,,"4-10","Криміналістика- доц. Сущенко В.М.",6,"4-308",,,,,,,
,,"2-11","Кримінальне процесуальне право-",1,"9-8",,,,,,,
,,,"ст. викл. Мокрицька І.Я",,,,,,,,,
