,,,,,,
,,,,,,
"     ""Затверджую""",,,,,,
"     Декан факультету правничих наук                            Мелешевич А.А.",,,,,,
,,,,,,
"Розклад занять на весняний семестр 2012-13 н.р. ф-ту правничих наук 5 р.н.",,,,,,
,,,,,,
,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.",
,,,,,,"12тижнів"
"Пн.","08.30-09.50",,,,,
,"10.00-11.20","2-12","Інформаційне право - cт.викл. Проценко Д.В.",1,"4-314",
,"11.40-13.00","1-3,6-10","Міжнародно-правові аспекти","Лекція","4-314",
,,,"злочину геноциду - доц. Антонович М.М.",,,
,"13.30-14.50","2,3,6-10","Міжнародно-правові аспекти",1,"4-314",
,,,"злочину геноциду - доц. Антонович М.М.",,,
,"15.00-16.20","1-9","Проблеми адміністративного права - доц. Іщенко Ю.В.","Лекція","4-321",
,,"10-12","Конституційний процес -доц. Савенко М.Д.","Лекція","4-321",
,"16.30-17.50","2-10","Проблеми адміністративного права - доц. Іщенко Ю.В.",1,"4-321",
"Вт.","08.30-09.50",,,,,
,"10.00-11.20","1-10","   Адвокатська діяльність-доц. Варфоломеєва Т.В.","Лекція","4-425",
,"11.40-13.00","2-12","   Адвокатська діяльність-доц. Варфоломеєва Т.В.",1,"4-425",
,"13.30-14.50","3-12","Конституційний процес -доц. Савенко М.Д.",1,"9-8",
,,"4-9","Цивільний захист - доц. Сагайдак І.С.",2,"4-317",
,,"4-9","Охорона праці в галузі - доц. Непийвода В.П.",3,"8-12",
,"15.00-16.20","1-3","Цивільний захист - доц. Сагайдак І.С.","Лекція","4-100",
,,"4-9","Охорона праці в галузі - доц. Непийвода В.П.",2,"4-321",
,,"4-9","Цивільний захист - доц. Сагайдак І.С.",1,"4-319",
,"16.30-17.50","1-3","Охорона праці в галузі - доц. Непийвода В.П.","Лекція","4-100",
,,"4-9","Цивільний захист - доц. Сагайдак І.С.",3,"4-319",
,,"4-9","Охорона праці в галузі - доц. Непийвода В.П.",1,"4-321",
"Ср.","08.30-09.50","1-5,","Правове регулювання зовнішньо-","Лекція","4-425",
,,"8-11","економічної діяльності - доц. Посполітак В.В.",,,
,,"12","Правове регулювання зовнішньо-",1,"4-425",
,,,"економічної діяльності - доц. Посполітак В.В.",,,
,"10.00-11.20","1-5,","   Правове регулювавння обігу ","Лекція","4-425",
,,"8-11","цінних паперів - доц. Посполітак В.В.",,,
,,"12","   Правове регулювавння обігу ",2,"4-425",
,,,"цінних паперів - доц. Посполітак В.В.",,,
,"11.40-13.00","1-10","Інформаційне право - доц. Смирнова Т.С.","Лекція","4-319",
,,"12","   Правове регулювавння обігу ",1,"4-319",
,,,"цінних паперів - доц. Посполітак В.В.",,,
,"13.30-14.50","1-3","Мовне оформлення дипломних робіт - ","Лекція","9-29",
,,,"доц. Артикуца Н.В.",,,
,,"4-12","Мовне оформлення дипломних робіт - ",1,"9-29",
,,,"доц. Артикуца Н.В.",,,
,"15.00-16.20","1-10","Бухгалтерський облік і судово-","Лекція","4-321",
,,,"бухгалтерська експертиза - проф. Берлач Н.А.",,,
,,"4-12","Мовне оформлення дипломних робіт - ",2,"9-29",
,,,"доц. Артикуца Н.В.",,,
,"16.30-17.50","2,4-12","Бухгалтерський облік і судово-",1,"4-321",
,,,"бухгалтерська експертиза - проф. Берлач Н.А.",,,
,,"3","Бухгалтерський облік і судово-",1,"8-12",
,,,"бухгалтерська експертиза - проф. Берлач Н.А.",,,
"Чт.","08.30-09.50","5,6,8-12","Правове регулювання зовнішньо-",1,"9-8",
,,,"економічної діяльності - доц. Посполітак В.В.",,,
,,"1-4","Конституційний процес -доц. Савенко М.Д.","Лекція","9-8",
,"10.00-11.20","5,6,8-12","   Правове регулювавння обігу ",2,"9-8",
,,,"цінних паперів - доц. Посполітак В.В.",,,
,,"1-4","Конституційний процес -доц. Савенко М.Д.","Лекція","9-8",
,"11.40-13.00","5,6,8-12","   Правове регулювавння обігу ",1,"9-8",
,,,"цінних паперів - доц. Посполітак В.В.",,,
,,"1-10","Право міжнародних договорів-","Лекція","4-317",
,,,"проф. Василенко В.А.",,,
