"     ""Затверджую""",,,,,,
"     Декан факультету правничих наук                            Мелешевич А.А.",,,,,,
,,,,,,
"Розклад занять на весняний семестр 2012-13 н.р. ",,,,,,
,,,"магістерської програми ""Правознавство"".",,,
,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.","14 тижнів"
,,,,,,
"Пн.","13.30-14.50","1-6","Методологія правознавства- доц. Сущенко В.М","Лекція","4-319",
,,"7-12","Методологія правознавства- доц. Сущенко В.М",1,"4-319",
,"15.00-16.20","7-12","Методологія правознавства- доц. Сущенко В.М",2,"4-319",
"Вт.","08.30-09.50",,,,,
,"10.00-11.20","1-14","Публічне мовлення для юристів - С.А. Хименко",1,"8-4",
,"11.40-13.00","1-6,7-12","Теоретичні проблеми корпоративного ","Лекція","8-12",
,,,"права  - ст. викл. Абрамов Я.",1,"8-12",
,"13.30-14.50","4-9","Цивільний захист - доц. Сагайдак І.С.",1,"4-319",
,"15.00-16.20","1-3","Цивільний захист - доц. Сагайдак І.С.","Лекція","4-100",
,,"5-14","Науково-дослідний семінар - доц. Сущенко В.М.",1,"4-425",
,"16.30-17.50","1-3","Охорона праці в галузі - доц. Непийвода В.П.","Лекція","4-100",
"Ср.","08.30-09.50","1-9","Теорія правотворчості -доц. Дзейко Ж.О.","Лекція","9-8",
,,"10-14","Теорія правотворчості -доц. Дзейко Ж.О.",1,"9-8",
,"10.00-11.20","10","Теорія правотворчості -доц. Дзейко Ж.О.",2,"8-12",
,,"11-14","Теорія правотворчості -доц. Дзейко Ж.О.",2,"9-8",
,,"5","    Науково-дослідний семінар - проф. Козюбра М.І.",2,"4-317",
,,"6-10","Правове регулювання інформаційних ",1,"8-11",
,,,"технологій - доц. Смирнова Т.С.",,,
,"11.40-13.00","6-11","Охорона праці в галузі - доц. Непийвода В.П.",2,"8-11",
,"13.30-14.50","1-5","Правове регулювання інформаційних ","Лекція","4-317",
,,,"технологій - доц. Смирнова Т.С.",,,
,,"6-11","Охорона праці в галузі - доц. Непийвода В.П.",1,"8-11",
,,"6-8,9,10","Правове регулювання інформаційних ",2,"4-319",
,,,"технологій - доц. Смирнова Т.С.",,"4-101",
,"15.00-16.20","3--6","Проблеми європейського права -ст. в. Климович О.В.","Лекція","4-319",
,,"7--14","Проблеми європейського права -ст. в. Климович О.В.",1,"4-319",
,"16.30-17.50","4,5","Проблеми європейського права -ст. в. Климович О.В.","Лекція","4-319",
"Чт.","08.30-09.50",,,,,
,"10.00-11.20","1-14","Публічне мовлення для юристів - С.А. Хименко",1,"8-4",
,"11.40-13.00","1-5","    Науково-дослідний семінар - проф. Козюбра М.І.","Лекція","4-319",
,,"6-14","    Науково-дослідний семінар - проф. Козюбра М.І.",2,"4-319",
,"13.30-14.50","1-7","Проблеми міжнародного контрактового","Лекція","9-8",
,,,"права - доц. Логуш Л.В.",,,
,,"8-14","Проблеми міжнародного контрактового",1,"9-8",
,,,"права - доц. Логуш Л.В.",,,
,"15.00-16.20","1-7","Проблеми порівняльного конституційного ","Лекція","4-314",
,,,"права- проф. Мелешевич А.А.",,,
,,"8--14","Проблеми порівняльного конституційного ",1,"4-314",
,,,"права- проф. Мелешевич А.А.",,,
,"16.30-17.50","8--14","Проблеми порівняльного конституційного ",2,"4-314",
,,,"права- проф. Мелешевич А.А.",,,
,,"1-6","Право на землю в підприємницькій ","Лекція","4-319",
,,,"діяльності - доц. Поліводський О.А.",,,
,,"7-12","Право на землю в підприємницькій ",1,"4-319",
,,,"діяльності - доц. Поліводський О.А.",,,
"Пт.","08.30-09.50",,,,,"8 бер.-8 т"
,"10.00-11.20",,,,,
,"11.40-13.00",,,,,
,,,,,,
"Провідний спеціаліст деканату",,,,"В.П.Кучер",,
