,,,,,,
,,,,,,
"     ""Затверджую""",,,,,,
"     Декан факультету правничих наук                             Мелешевич А.А.",,,,,,
,,,,,,
"Розклад занять на осінній семестр 2013-14 н.р.ф-ту правничих наук 2 р.н.",,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.",
,,,,,,
"Пн.","08.30-09.50","1-14","Англійська мова- Залєська Л.М.","А78","2-404",
,,"1-14","Англійська мова- Сидорова О.Ю.","А79","4-320",
,,"1-14","Англійська мова - Прісна Т.Б.","А80","8-8",
,,"1-14","Англійська мова - Малайок Ю.М.","А81","8-6",
,,"1-14","Англійська мова - Іващенко П.А","А82","2-402",
,"10.00-11.20","1","Українська мова за професійним ","Лекція","4-100",
,,,"спрямуванням - доц. Голосовська Г.Г.",,,
,,"2-14","Українська мова за професійним ","5(3)","4-319",
,,,"спрямуванням - доц. Голосовська Г.Г.",,,
,,"9-15","Цивільне право- доц. Дзера І.С.",1,"9-8",
,"11.40-13.00","1-7","Українська мова за професійним ","Лекція","4-100",
,,,"спрямуванням - доц. Голосовська Г.Г.",,,
,,"9-15","Цивільне право- доц. Дзера І.С.",2,"4-319",
,"13.30-14.50","2-14","Українська мова за професійним ","3(2)","4-425",
,,,"спрямуванням - доц. Голосовська Г.Г.",,,
,,"9-15","Цивільне право- доц. Дзера І.С.",3,"8-12",
,,"4-14","Конституційне право зарубіжних країн-",1,"4-314",
,,,"доц. Шипілов Л.М.",,,
,,"1","Конституційне право зарубіжних країн-","Лекція","4-100",
,,,"доц. Шипілов Л.М.",,,
,"15.00-16.20","3---12","Конституційне право зарубіжних країн-","Лекція","4-100",
,,,"доц. Шипілов Л.М.",,,
"Вт.","08.30-09.50",,,,,
,"10.00-11.20","1-6","Цивільне право- доц. Дзера І.С.","Лекція","4-101",
,,"7,9-14","Конституційне право України -",1,"4-319",
,,,"доц.Савенко М.Д.",,,
,,"9-14","Історія української культури",1,"4-425",
,,," - ст. викл. Івашина О.О.",,,
,"11.40-13.00","1-6","Цивільне право- доц. Дзера І.С.","Лекція","4-101",
,,"7,9-14","Конституційне право України -",2,"4-319",
,,,"доц.Савенко М.Д.",,,
,,"9-14","Історія української культури",1,"4-425",
,,," - ст. викл. Івашина О.О.",,,
,"13.30-14.50","7,9-14","Конституційне право України -",3,"4-319",2
,,,"доц.Савенко М.Д.",,,
,,"9-14","Історія української культури",1,"4-425",
,,," - ст. викл. Івашина О.О.",,,
,"15.00-16.20","2-9","Політологія - проф. Якушик В.М.","Лекція","1-217",
,"16.30-17.50","2-9","Політологія - проф. Якушик В.М.","Лекція","1-217",
"Ср.","08.30-09.50","4,6,9,11,13,15","Політологія - ст. викл. Трегуб О.І.",3,"4-425",
,"10.00-11.20","4,6,9,11,13,15","Політологія - ст. викл. Трегуб О.І.",2,"4-425",
,,"7----","Психологія соціального впливу та ",1,"4-425",
,,,"успіху - ст. викл. Брик О.М.",,,
,"11.40-13.00","2-14","Українська мова за професійним ","4(2,3)","4-317",
,,,"спрямуванням - доц. Трач Н.С.",,,
,,"4,6,9,11,13,15","Політологія - ст. викл. Трегуб О.І.",1,"4-425",
,,"7,10,12,14","Психологія соціального впливу та ",2,"4-425",
,,,"успіху - ст. викл. Брик О.М.",,,
,"13.30-14.50","1-9","Психологія соціального впливу та ","Лекція","4-101",
,,,"успіху - ст. викл. Брик О.М.",,,
,,"10---","Психологія соціального впливу та ",1,"8-11",
,,"12,14","успіху - ст. викл. Брик О.М.",,"4-425",
,"15.00-16.20","всі","Фізичне виховання",,"1т. 4-101",
"Чт.","08.30-09.50",,,,,
,"10.00-11.20","1-7","Цивільне право- доц. Дзера І.С.","Лекція","4-101",
,,"9","Українська мова за професійним ","Лекція","4-101",
,,,"спрямуванням - доц. Голосовська Г.Г.",,,
,"11.40-13.00","1","Цивільне право- доц. Дзера І.С.","Лекція","4-101",
,,"2-14","Цивільне право- доц. Дзера І.С.",1,"8-12",
,,"4-14","Конституційне право зарубіжних країн-",2,"4-314",
,,,"ст.викл. Черненко З.С.",,,
,"13.30-14.50","2-14","Цивільне право- доц. Дзера І.С.",2,"8-12",
,,"4-14","Конституційне право зарубіжних країн-",3,"4-314",
,,,"ст.викл. Черненко З.С.",,,
,,"2-14","Українська мова за професійним ","1(1)","8-11",
,,,"спрямуванням - доц. Голосовська Г.Г.",,,
,"15.00-16.20","2-14","Українська мова за професійним ","2(1,2)","8-11",
,,,"спрямуванням - доц. Голосовська Г.Г.",,,
,,"2-14","Цивільне право- доц. Дзера І.С.",3,"9-8",
"Пт.","08.30-09.50","1-14","Англійська мова- Залєська Л.М.","А78","2-404",
,,"1-14","Англійська мова- Сидорова О.Ю.","А79","4-320",
,,"1-14","Англійська мова - Прісна Т.Б.","А80","8-8",
,,"1-14","Англійська мова - Малайок Ю.М.","А81","8-6",
,,"1-14","Англійська мова - Іващенко П.А","А82","2-402",
,"10.00-11.20","1-7","Конституційне право України -","Лекція","4-101",
,,,"доц.Савенко М.Д.",,,
,"11.40-13.00","всі","Фізичне виховання",1,,
,"13.30-14.50","1-15","Історія української культури - доц. Нікішенко Ю.І.","Лекція","4-100",
,,,,,,
,"Провідний спеціаліст деканату",,,"Кучер В.П.",,
