,,,,,
,,,,,
"     ""Затверджую""",,,,,
"     Декан факультету правничих наук                             Мелешевич А.А.",,,,,
,,,,,
"Розклад занять на осінній семестр 2013- 14 н.р. ф-ту правничих наук 3 р.н.",,,,,
,,,,,
,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд."
,,,,,
"Пн.","08.30-09.50","2--","Адміністративний процес- доц. Іщенко Ю.В.","Лекція","4-321"
,"10.00-11.20","1-14","Міжнародне публічне право-доц. Антонович М.М.","Лекція","4-314"
,"11.40-13.00","2-15","Міжнародне публічне право-доц. Антонович М.М.",1,"4-314"
,,"2-14","Цивільне право -ст.викл.Колінчук Х.Г.",2,"9-8"
,"13.30-14.50","1-12","Кримінальне право- доц. Азаров Д.С.","Лекція","4-321"
,"15.00-16.20","1-12","Кримінальне право- доц. Азаров Д.С.","Лекція","4-321"
"Вт.","08.30-09.50","1,2,4-9","Цивільне право- доц. Посполітак В.В.","Лекція","4-321"
,"10.00-11.20","1,2,4-7","Цивільне право- доц. Посполітак В.В.","Лекція","4-321"
,,"9-14","Кримінальне право- доц. Горох О.П.",1,"4-314"
,"11.40-13.00","1---7","Міжнародний захист гендерних прав ","Лекція","1-217"
,,,"і прав дітей- ст.викл.Черненко З.С.",,
,,"9-14","Кримінальне право- доц. Горох О.П.",2,"4-314"
,"13.30-14.50","4-14","Основи підприємницького права - ст. викл. Карнаух Т.М.",2,"8--12"
,,"1,2","Цивільне процесуальне право-","Лекція","4-314"
,,,"доц. Ханик-Посполітак Р.Ю.",,
,,"6--14","Міжнародний захист гендерних прав ",1,"4-314"
,,,"і прав дітей- ст.викл. Черненко З.С.",,
,"15.00-16.20","6--14","Міжнародний захист гендерних прав ",2,"4-314"
,,,"і прав дітей- ст.викл. Черненко З.С.",,
,,"1,2","Цивільне процесуальне право-","Лекція","4-314"
,,,"доц. Ханик-Посполітак Р.Ю.",,
"Ср.","08.30-09.50","1-6","Трудове право- доц. Костюк В.Л.","Лекція","4-321"
,,"7","Адміністративний процес- доц. Іщенко Ю.В.","Лекція","4-321"
,,"9-15","Адміністративний процес- доц. Іщенко Ю.В.",1,"4-321"
,"10.00-11.20","1","Трудове право- доц. Костюк В.Л.","Лекція","4-321"
,,"2","Сімейне право - ст. викл. Колінчук Х.Г.","Лекція","4-321"
,,"3-7","Адміністративний процес- доц. Іщенко Ю.В.","Лекція","4-321"
,,"9-15","Адміністративний процес- доц. Іщенко Ю.В.",2,"4-321"
,,"9-14","Сімейне право - ст. викл. Колінчук Х.Г.",1,"4-319"
,"11.40-13.00","1-7","Сімейне право - ст. викл. Колінчук Х.Г.","Лекція","4-321"
,,"9-14","Сімейне право - ст. викл. Колінчук Х.Г.",2,"4-321"
,"13.30-14.50","4-14","Основи підприємницького права - ст. викл. Карнаух Т.М.",1,"8-12"
,,"2-15","Міжнародне публічне право-доц. Антонович М.М.",2,"4-321"
,,"1","Цивільне процесуальне право-","Лекція","4-321"
,,,"доц. Ханик-Посполітак Р.Ю.",,
,"15.00-16.20","1","Цивільне процесуальне право-","Лекція","4-321"
,,,"доц. Ханик-Посполітак Р.Ю.",,
,,"3,5,7,","ННС ""Захист інтересів держави в МСС ООН""-",1,"4-321"
,,"9,11,13,15","доц. Антонович М.М.",,
,,"2,4,6,","ННС ""Захист інтересів держави в МСС ООН""-",2,"4-321"
,,"10,12,14","доц. Антонович М.М.",,
,"16.30-17.50","1","ННС ""Захист інтересів держави в МСС ООН""-",1,"4-319"
,,"7,15","доц. Антонович М.М.",2,"4-319"
"Чт.","08.30-09.50","3-10","Трудове право- ст. викл. Яцкевич І.І.",1,"8-11"
,"10.00-11.20","1-14","Кримінальне право- доц. Горох О.П.",1,"9-8"
,,"3-10","Трудове право- ст. викл. Яцкевич І.І.",2,"8-11"
,"11.40-13.00","1-14","Кримінальне право- доц. Горох О.П.",2,"9-8"
,"13.30-14.50","1,3,5-9","Цивільне процесуальне право-","Лекція","4-321"
,,,"доц. Ханик-Посполітак Р.Ю.",,
,,"14","Міжнародне публічне право-доц. Антонович М.М.",1,"4-321"
,"15.00-16.20","14","Міжнародне публічне право-доц. Антонович М.М.",2,"4-317"
,,"2-14","Цивільне право -ст.викл.Солом'яний В.Р.",1,"9-8"
"Пт.","08.30-09.50","1-6","Фінансове право- ст.викл. Кравченко Н.Г.","Лекція","4-321"
,,"7-14","Фінансове право- ст.викл. Кравченко Н.Г.",1,"4-321"
,"10.00-11.20","1","Фінансове право- ст.викл. Кравченко Н.Г.","Лекція","4-321"
,,"7-14","Фінансове право- ст.викл. Кравченко Н.Г.",2,"4-321"
,,"3,5-13","Цивільне процесуальне право-",1,"9-8"
,,,"доц. Ханик-Посполітак Р.Ю.",,
,"11.40-13.00","3,5-13","Цивільне процесуальне право-",2,"9-8"
,,,"доц. Ханик-Посполітак Р.Ю.",,
,,"1","Цивільне право- доц. Посполітак В.В.","Лекція","4-321"
,"13.30-14.50","1-12","Основи підприємницького права - ст. викл. Карнаух Т.М.","Лекція","4-321"
,,,,,
,"Провідний спеціаліст деканату",,,"Кучер В.П.",
