,,,,,
,,,,,
"     ""Затверджую""",,,,,
"     Декан факультету правничих наук                             Мелешевич А.А.",,,,,
,,,,,
"Розклад занять на осінній триместр 2013-14 н.р.факультету правничих наук 4 р.н.",,,,,
,,,,,
,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд."
,,,,,
"Пн.","08.30-09.50","1-7","Міжнародний захист прав ","Лекція","4-317"
,,"9-15","національних меншин - ст. викл Курінний О.В.",1,"4-317"
,"10.00-11.20","1-7,10-14","Кримінальне процесуальне право-","Лекція","4-101"
,,,"проф. Галаган В.І.",,
,"11.40-13.00","1-7,10-14","Криміналістика- проф. Галаган В.І.","Лекція","4-101"
,"13.30-14.50","2-14","Кримінальне процесуальне право-",3,"9-8"
,,,"ст. викл. Мокрицька І.Я",,
,"15.00-16.20","9,12","Кримінальне процесуальне право-",1,"9-8"
,,,"ст. викл. Мокрицька І.Я",,
,"16.30-17.50","9,12","Кримінальне процесуальне право-",2,"9-8"
,,,"ст. викл. Мокрицька І.Я",,
,,"5-7,10,11","Теорія кримінально-правової кваліфікації ",1,"4-321"
,,,"та застосування кримінальної відповідальності",,
"Вт.","08.30-09.50","1-9","Конкурентне право- ст. викл.Шкляр С.В.","Лекція","4-317"
,,"10-15","Конкурентне право- ст. викл.Шкляр С.В.",1,"4-317"
,"10.00-11.20","2-14","Кримінальне процесуальне право-",1,"9-8"
,,,"ст. викл. Мокрицька І.Я",,
,"11.40-13.00","2-14","Кримінальне процесуальне право-",2,"9-8"
,,,"ст. викл. Мокрицька І.Я",,
,,"4-13","Криміналістика- доц. Сущенко В.М.",1,"4-308"
,"13.30-14.50","4-13","Криміналістика- доц. Сущенко В.М.",4,"4-308"
,,"9,12","Кримінальне процесуальне право-",3,"9-8"
,,,"ст. викл. Мокрицька І.Я",,
,,"2-15","    Господарське процесуальне право -",1,"4-321"
,,,"   доц. Логуш Л.В.",,
,"15.00-16.20","1-13","Екологічне право -доц. Краснова М.В.","Лекція","4-101"
,"16.30-17.50","4-14","Екологічне право -доц. Краснова М.В.",3,"4-317"
"Ср.","08.30-09.50","1-13","Податкове право  - доц. Лобач О.М.","Лекція","4-101"
,,"14","Міжнародний захист прав ",1,"4-319"
,,,"національних меншин - ст. викл Курінний О.В.",,
,"10.00-11.20","2-14","Податкове право  - доц. Лобач О.М.",3,"9-8"
