"ПН","08:30-09:50","1-220","Інформаційні технології","0","Кирієнко О. ","2-5"
"ПН","13:30-14:50","3-305","Історична географія України","0","Балабушевич Т. ","2-12"
"ПН","15:00-16:20","3-305","Історична географія України","0","Балабушевич Т. ","2,3,4"
"ВТ","08:30-09:50","1-129","Історія античного світу","0","Синиця Є. ","1-12"
"ВТ","10:00-11:20","1-121","Історія України","0","Гломозда К. ","1-12"
"ВТ","11:40-13:00","1-121","Історія античного світу","1","Третякова О. ","2-12"
"ВТ","11:40-13:00","9-17а","Історична географія України","0","Балабушевич Т. ","1"
"ВТ","11:40-13:00","4-312","Інформаційні технології","1","Кирієнко О. ","2-11"
"ВТ","13:30-14:50","1-121","Історія античного світу","2","Третякова О. ","2-12"
"ВТ","13:30-14:50","9-17а","Історична географія України","0","Балабушевич Т. ","1"
"ВТ","13:30-14:50","4-312","Інформаційні технології","2","Кирієнко О. ","2-11"
"ВТ","15:00-16:20","4-312","Інформаційні технології","3","Кирієнко О. ","2-11"
"СР","08:30-09:50","9-24","Основи археології","0","Отрощенко В. ","1-4"
"СР","08:30-09:50","9-24","Історія України","0","Гломозда К. ","5"
"СР","10:00-11:20","9-24","Основи археології","0","Отрощенко В. ","1-12"
"СР","11:40-13:00","9-24","Основи археології","1","Шумова В. ","2-12"
"СР","13:30-14:50","9-24","Основи археології","2","Довженко Н. ","2-12"
"ЧТ","11:40-13:00","1-121","Історія України","0","Гломозда К. ","1"
"ЧТ","11:40-13:00","1-121","Історія України","1","Яременко М. ","2-12"
"ЧТ","13:30-14:50","1-121","Історія України","0","Гломозда К. ","1"
"ЧТ","13:30-14:50","1-121","Історія України","2","Яременко М. ","2-12"
"ЧТ","15:00-16:20","1-323","Культорологія","0","Лосєв І. ","1-11"
"ЧТ","16:30-17:50","1-323","Культорологія","0","Лосєв І. ","1-3"
"ЧТ","16:30-17:50","1-323","Культорологія","1","Лосєв І. ","4-11"
"ПТ","08:30-09:50","8-7","Історія античного світу","0","Синиця Є. ","1,2,3"
"ПТ","10:00-11:20","8-9","Історична географія України","1","Тесленко І. ","2-5,7-12"
"ПТ","11:40-13:00","8-9","Історична географія України","2","Тесленко І. ","2-5,7-12"
"СБ","13:30-14:50","8-8","Основи археології","1","Шумова В. ","9"
"СБ","13:30-14:50","8-8","Історична географія України","2","Тесленко І.","3,8"
"СБ","13:30-14:50","8-13","Історія України","1","Яременко М. ","6,7,8"
"СБ","13:30-14:50","8-8","Історія античного світу","2","Третякова О. ","6,7"
"СБ","13:30-14:50","1-217","Культорологія","0","Лосєв І. ","2"
"СБ","15:00-16:20","8-8","Основи археології","2","Довженко Н. ","9"
"СБ","15:00-16:20","8-8","Історична географія України","1","Тесленко І.","3,8"
"СБ","15:00-16:20","8-13","Історія України","2","Яременко М. ","6,7,8"
"СБ","15:00-16:20","8-8","Історія античного світу","1","Третякова О. ","6,7"
