"ВТ","15:00-16:20","2-412","Практика виробничо-наукова","1","Мельник Р. М. ","1-6"
"ВТ","16:30-17:50","2-412","Практика виробничо-наукова","1","Мельник Р. М. ","1-12"
"СР","10:00-11:20","2-310","Теорія суцільного середовища","0","Пінкевич І. П. ","1-12"
"СР","11:40-13:00","2-310","Теорія суцільного середовища","1","Пінкевич І. П. ","1-12"
"СР","13:30-14:50","2-310","Теорія суцільного середовища","0","Пінкевич І. П. ","9"
"ЧТ","10:00-11:20","1-333","Квантова теорія","0","Голод П. І. ","1-12"
"ЧТ","13:30-14:50","2-402","Квантова теорія","0","Голод П. І. ","7,8"
"ЧТ","13:30-14:50","2-402","Квантова теорія","1","Голод П. І. ","10,11"
"ЧТ","16:30-17:50","0-2ш","Практикум з фізики ядра","2","Конончук Г. Л. ","1-4"
"ПТ","08:30-09:50","1-333","Термодинаміка і статистична фізика","0","Агре М. Я. ","11"
"ПТ","08:30-09:50","1-333","Термодинаміка і статистична фізика","1","Агре М. Я. ","12"
"ПТ","10:00-11:20","1-333","Термодинаміка і статистична фізика","0","Агре М. Я. ","1-12"
"ПТ","11:40-13:00","1-333","Термодинаміка і статистична фізика","1","Агре М. Я. ","1-12"
"ПТ","13:30-14:50","0-2ш","Практикум з фізики ядра","1","Конончук Г. Л. ","1-12"
"ПТ","15:00-16:20","0-2ш","Практикум з фізики ядра","2","Конончук Г. Л. ","1-12"
"ПТ","16:30-17:50","0-2ш","Практикум з фізики ядра","1","Конончук Г. Л. ","1-8"
"ПТ","16:30-17:50","0-2ш","Практикум з фізики ядра","2","Конончук Г. Л. ","9-12"
