"ПН","08:30-09:50","3-302","Українська мова (за професійним","0","Кадочнікова О. ","1-10"
"ПН","11:40-13:00","1-223","O_o","9","Глибовець М. ","1-15"
"ПН","15:00-16:20","1-206","O_o","9","Норкін Б. ","1-15"
"ВТ","11:40-13:00","3-302","O_o","9","Опанасюк Ю. ","1-15"
"СР","08:30-09:50","1-112","O_o","9","Кадочнікова О. ","1-15"
"СР","10:00-11:20","1-112","O_o","9","Кадочнікова О. ","1-15"
"СР","11:40-13:00","1-223","O_o","9","Бублик В. ","1-15"
"СР","13:30-14:50","1-331","O_o","9","Бублик В. ","1-15"
"СР","13:30-14:50","2-214","O_o","9","Борозенний С. ","1-15"
"ЧТ","11:40-13:00","1-223","O_o","9","Кислоокий В. ","1-14"
"ЧТ","13:30-14:50","1-306","Веб-технології	                                                       ПСВУ  -   Психологія соціального впливу та успіху","1","Кислоокий В. ","1-14"
"ЧТ","13:30-14:50","1-208","Основи комп’ютерних алгоритмів                                        спрямуванням)","3","Гломозда Д. ","1-15"
"ЧТ","15:00-16:20","1-306","Веб-технології	                                                       ПСВУ  -   Психологія соціального впливу та успіху","2","Кислоокий В. ","1-14"
"ЧТ","15:00-16:20","1-208","Основи комп’ютерних алгоритмів                                        спрямуванням)","4","Гломозда Д. ","1-15"
"ЧТ","16:30-17:50","1-306","Веб-технології	                                                       ПСВУ  -   Психологія соціального впливу та успіху","3","Кислоокий В. ","1-14"
"ПТ","08:30-09:50","3-220а","O_o","9","Брик О. ","5-9"
"ПТ","13:30-14:50","3-302","Алгебра і теорія чисел                                           Е        -     Основи економічної теорії","1","Пилявська О. ","1-14"
"ПТ","13:30-14:50","1-225","Алгебра і теорія чисел                                           Е        -     Основи економічної теорії","2","Дяченко С. ","1-14"
"ПТ","15:00-16:20","1-225","O_o","9","Бандура О. ","1-14"
"ПТ","16:30-17:50","1-225","O_o","9","Бандура О. ","2-13"
