"ПН","08:30-09:50","1-309","Прикладне програмування","1","Норкін Б. ","1-15"
"ПН","10:00-11:20","1-223","Прикладне програмування","0","Норкін Б. ","1-15"
"ПН","11:40-13:00","1-331","Прикладне програмування","2","Норкін Б. ","1-14"
"ВТ","10:00-11:20","1-306","Інженерні методики розробки програмних систем","0","Жежерун І. ","1-15"
"ВТ","11:40-13:00","1-306","Інженерні методики розробки програмних систем","1","Жежерун І. ","1-15"
"СР","10:00-11:20","1-310","Архітектура інформаційних управляючих систем","0","Гороховський С. ","1-15"
"СР","11:40-13:00","1-331","Архітектура інформаційних управляючих систем","2","Гороховський С. ","1-15"
"СР","11:40-13:00","1-310","Основи системного аналізу об’єктів і процесів комп’ютеризації","1","Дубровський В. ","1-15"
"СР","13:30-14:50","1-108","Архітектура інформаційних управляючих систем","1","Гороховський С. ","1-15"
"СР","13:30-14:50","1-223","Основи системного аналізу об’єктів і процесів комп’ютеризації","2","Дубровський В. ","1-15"
"СР","15:00-16:20","1-310","Основи системного аналізу об’єктів і процесів комп’ютеризації","0","Дубровський В. ","1-15"
"СР","16:30-17:50","1-310","Основи системного аналізу об’єктів і процесів комп’ютеризації","3","Дубровський В. ","1-15"
"ЧТ","10:00-11:20","1-206","Теорія прийняття рішень та керування-2","3","Чорней Р. ","1-15"
"ЧТ","11:40-13:00","1-206","Теорія прийняття рішень та керування-2","1","Чорней Р. ","1-15"
"ЧТ","13:30-14:50","1-223","Теорія прийняття рішень та керування-2","0","Чорней Р. ","1-15"
"ЧТ","15:00-16:20","1-206","Теорія прийняття рішень та керування-2","2","Чорней Р. ","1-15"
"ПТ","08:30-09:50","1-306","Платформи корпоративних інформаційних систем","0","Гломозда Д. ","1-11"
"ПТ","10:00-11:20","1-306","Платформи корпоративних інформаційних систем","1","Гломозда Д. ","1-12"
