"ПН","08:30-09:50","4-101","Адміністративний процес","0","Іщенко Ю. В. ","1-7"
"ПН","08:30-09:50","4-317","Адміністративний процес","3","Іщенко Ю. В. ","9-15"
"ПН","08:30-09:50","4-319","Фінансове право","2","Кравченко Н. Г. ","9-15"
"ПН","10:00-11:20","4-100","Міжнародне публічне право","0","Антонович М. М. ","1-14"
"ПН","11:40-13:00","4-314","Міжнародне публічне право","1","Антонович М. М. ","2-15"
"ПН","11:40-13:00","4-425","Кримінальне право","2","Азаров Д. С. ","2-15"
"ПН","13:30-14:50","4-100","Кримінальне право","0","Азаров Д. С. ","1-12"
"ПН","15:00-16:20","4-100","Кримінальне право","0","Азаров Д. С. ","1-12"
"ВТ","08:30-09:50","4-101","Цивільне право","0","Посполітак В. В. ","2-13"
"ВТ","08:30-09:50","4-100","Фінансове право","0","Кравченко Н. Г. ","1"
"ВТ","10:00-11:20","4-101","Цивільне право","0","Посполітак В. В. ","2-7"
"ВТ","10:00-11:20","4-100","Фінансове право","0","Кравченко Н. Г. ","1"
"ВТ","10:00-11:20","4-314","Кримінальне право","1","Горох О. П. ","9-14"
"ВТ","10:00-11:20","4-319","Цивільне право","3","Солом'яний В. Р. ","9-14"
"ВТ","10:00-11:20","4-317","Цивільне право","2","Колінчук Х. Г. ","9-14"
"ВТ","11:40-13:00","4-425","Міжнародний захист гендерних прав і прав дітей","0","Черненко З. С. ","1,3-7"
"ВТ","11:40-13:00","4-314","Кримінальне право","3","Горох О. П. ","9-14"
"ВТ","11:40-13:00","4-317","Цивільне право","1","Колінчук Х. Г. ","9-14"
"ВТ","13:30-14:50","8-12","Основи підприємницького права","2","Карнаух Т. М. ","4-14"
"ВТ","13:30-14:50","4-425","Міжнародний захист гендерних прав і прав дітей","0","Черненко З. С. ","1"
"ВТ","13:30-14:50","4-425","Міжнародний захист гендерних прав і прав дітей","1","Черненко З. С. ","6-14"
"ВТ","15:00-16:20","4-425","Міжнародний захист гендерних прав і прав дітей","2","Черненко З. С. ","6-14"
"ВТ","15:00-16:20","4-101","Цивільне право","0","Посполітак В. В. ","1"
"ВТ","16:30-17:50","4-101","Цивільне право","0","Посполітак В. В. ","1"
"СР","08:30-09:50","4-100","Трудове право","0","Костюк В. Л. ","1-5"
"СР","10:00-11:20","4-101","Трудове право","0","Костюк В. Л. ","1,2"
"СР","10:00-11:20","4-317","Трудове право","3","Яцкевич І. І. ","3-10"
"СР","10:00-11:20","4-425","Кримінальне право","2","Азаров Д. С. ","9-14"
"СР","11:40-13:00","4-425","Написання наукових робіт","0","Кисельова Т. С. ","1-4"
"СР","11:40-13:00","4-425","Написання наукових робіт","1","Кисельова Т. С. ","5-13"
"СР","13:30-14:50","4-319","Основи підприємницького права","1","Карнаух Т. М. ","4-14"
"СР","13:30-14:50","4-321","Міжнародне публічне право","3","Антонович М. М. ","1-15"
"СР","15:00-16:20","4-321","Міжнародне публічне право","2","Антонович М. М. ","1-15"
"СР","15:00-16:20","4-425","Судова медицина та психіатрія","0","Михайличенко В. Б. ","1-6"
"СР","15:00-16:20","4-425","Судова медицина та психіатрія","1","Біляков А. М. ","7-15"
"СР","16:30-17:50","4-101","Фінансове право","0","Кравченко Н. Г. ","1"
"СР","16:30-17:50","4-425","Судова медицина та психіатрія","1","Біляков А. М. ","15"
"ЧТ","08:30-09:50","4-319","Трудове право","1","Яцкевич І. І. ","3-10"
"ЧТ","08:30-09:50","4-317","Цивільне право","3","Солом'яний В. Р. ","2-14"
"ЧТ","08:30-09:50","4-314","Адміністративний процес","2","Іщенко Ю. В. ","9-15"
"ЧТ","10:00-11:20","4-314","Кримінальне право","3","Горох О. П. ","1-14"
"ЧТ","10:00-11:20","4-319","Трудове право","2","Яцкевич І. І. ","3-10"
"ЧТ","10:00-11:20","4-319","Міжнародне публічне право","1","Антонович М. М. ","1"
"ЧТ","10:00-11:20","4-101","Адміністративний процес","1","Іщенко Ю. В. ","9,10"
"ЧТ","10:00-11:20","4-319","Адміністративний процес","1","Іщенко Ю. В. ","11-15"
"ЧТ","11:40-13:00","4-314","Кримінальне право","1","Горох О. П. ","1-14"
"ЧТ","13:30-14:50","4-100","Цивільне процесуальне право","0","Ханик-Посполітак Р. Ю. ","1-3,6-13"
"ЧТ","15:00-16:20","4-317","Цивільне процесуальне право","3","Ханик-Посполітак Р. Ю. ","3,6"
"ЧТ","15:00-16:20","4-100","Цивільне право","0","Посполітак В. В. ","1"
"ЧТ","16:30-17:50","4-314","ННС ""Захист інтересів держави в МСС ООН""","1","Захист Д.","1,3,5,7,9,11,13"
"ПТ","08:30-09:50","4-100","Цивільне процесуальне право","0","Ханик-Посполітак Р. Ю. ","1,2"
"ПТ","08:30-09:50","4-100","Фінансове право","0","Кравченко Н. Г. ","3-6"
"ПТ","08:30-09:50","9-8","Цивільне процесуальне право","3","Ханик-Посполітак Р. Ю. ","7-14"
"ПТ","08:30-09:50","4-319","Фінансове право","1","Кравченко Н. Г. ","7-14"
"ПТ","10:00-11:20","4-319","Фінансове право","3","Кравченко Н. Г. ","7-14"
"ПТ","10:00-11:20","4-314","Цивільне право","1","Колінчук Х. Г. ","2-14"
"ПТ","10:00-11:20","9-8","Цивільне процесуальне право","2","Ханик-Посполітак Р. Ю. ","3,6-14"
"ПТ","11:40-13:00","9-8","Цивільне процесуальне право","1","Ханик-Посполітак Р. Ю. ","3,6-14"
"ПТ","11:40-13:00","4-314","Цивільне право","2","Колінчук Х. Г. ","2-14"
"ПТ","13:30-14:50","4-101","Основи підприємницького права","0","Карнаух Т. М. ","1-12"
