"ПН","10:00-11:20","9-29","Кримінальне процесуальне право","0","Галаган В. І. ","1-7,10-12"
"ПН","11:40-13:00","4-100","Криміналістика","0","Галаган В. І. ","1-7,10-12"
"ПН","13:30-14:50","4-101","Адміністративний процес","0","Іщенко Ю. В. ","1-3"
"ПН","13:30-14:50","4-319","Адміністративний процес","3","Іщенко Ю. В. ","4-11"
"ПН","15:00-16:20","4-319","Адміністративний процес","2","Іщенко Ю. В. ","4-11"
"ПН","16:30-17:50","4-319","Адміністративний процес","1","Іщенко Ю. В. ","4-11"
"ВТ","08:30-09:50","4-319","Конкурентне право","0","Шкляр С. В. ","1-7"
"ВТ","08:30-09:50","4-319","Конкурентне право","1","Шкляр С. В. ","9-13"
"ВТ","11:40-13:00","9-8","Міжнародне приватне право","0","Солом'яний В. Р. ","1-13"
"ВТ","11:40-13:00","4-308","Криміналістика","1","Сущенко В. М. ","4-6,"
"ВТ","13:30-14:50","4-308","Криміналістика","5","Сущенко В. М. ","4-6,"
"ВТ","15:00-16:20","4-100","Екологічне право","0","Краснова М. В. ","2-11"
"ВТ","16:30-17:50","4-100","Екологічне право","0","Краснова М. В. ","1"
"ВТ","16:30-17:50","4-317","Екологічне право","3","Краснова М. В. ","2-11"
"СР","08:30-09:50","4-321","Податкове право","0","Лобач О. М. ","1-11"
"СР","10:00-11:20","4-321","Податкове право","1","Лобач О. М. ","3-14"
"СР","10:00-11:20","9-8","Кримінальне процесуальне право","1","Мокрицька І. Я","2-14"
"СР","11:40-13:00","4-308","Криміналістика","6","Сущенко В. М. ","4-6,"
"СР","11:40-13:00","9-8","Кримінальне процесуальне право","2","Мокрицька І. Я","2-14"
"СР","13:30-14:50","4-425","  Права людини і біомедицина","0","","1,3-7"
"СР","13:30-14:50","9-8","Кримінальне процесуальне право","3","Мокрицька І. Я","2-14"
"СР","15:00-16:20","4-425","  Права людини і біомедицина","0"," Черненко З. С. ","1"
"СР","15:00-16:20","4-308","Криміналістика","2","Сущенко В. М. ","4-6,"
"СР","16:30-17:50","4-321","Судова медицина та психіатрія","0","Михайличенко В. Б. ","1-6"
"СР","16:30-17:50","4-321","Судова медицина та психіатрія","1","Біляков А. М. ","7-13"
"ЧТ","10:00-11:20","4-100","Кримінальне процесуальне право","0","Галаган В. І. ","1-3"
"ЧТ","10:00-11:20","4-100","Міжнародне приватне право","1","Солом'яний В. Р. ","4-14"
"ЧТ","10:00-11:20","4-308","Криміналістика","3","Сущенко В. М. ","4-6,"
"ЧТ","11:40-13:00","4-321","Окремі види договірних зобов`язань","0","ст. викладач Гадомський Д. В. ","1-4"
"ЧТ","11:40-13:00","8-12","Окремі види договірних зобов`язань","1","ст. викладач Гадомський Д. В. ","5-11"
"ЧТ","13:30-14:50","4-321","Окремі види договірних зобов`язань","0","ст. викладач Гадомський Д. В. ","1-3"
"ЧТ","13:30-14:50","8-12","Окремі види договірних зобов`язань","2","ст. викладач Гадомський Д. В. ","5-11"
"ЧТ","13:30-14:50","4-308","Криміналістика","4","Сущенко В. М. ","4-6,"
"ЧТ","15:00-16:20","4-101","Адміністративний процес","0","Іщенко Ю. В. ","1-3"
"ЧТ","15:00-16:20","4-321","Земельне право","0","Поліводський О. А. ","4-6"
"ЧТ","15:00-16:20","4-321","Земельне право","1","Поліводський О. А. ","7-11"
"ЧТ","16:30-17:50","4-321","Земельне право","0","Поліводський О. А. ","1-5"
"ПТ","08:30-09:50","4-317","Екологічне право","2","Краснова М. В. ","2-11"
"ПТ","10:00-11:20","4-100","Екологічне право","1","Краснова М. В. ","2-11"
"ПТ","13:30-14:50","9-4","Юридичний практикум","1","Матвєєва Ю. І. ","2-14"
"ПТ","15:00-16:20","9-4","Юридичний практикум","2","Матвєєва Ю. І. ","2-14"
