"ПН","08:30-09:50","1-309","Прикладне програмування","1","Норкін Б. ","1-15"
"ПН","10:00-11:20","1-223","Прикладне програмування","0","Норкін Б. ","1-15"
"ВТ","10:00-11:20","1-206","Архітектура та комутаційне устаткування кампусних  мереж","0","Синявський О. ","1-15"
"ВТ","11:40-13:00","1-206","Архітектура та комутаційне устаткування кампусних  мереж","1","Дорош О. ","1-15"
"ВТ","13:30-14:50","1-310","Основи системного аналізу об’єктів і процесів комп’ютерізації","0","Кривонос Ю. ","1-15"
"ВТ","15:00-16:20","1-309","Основи системного аналізу об’єктів і процесів комп’ютерізації","1","Дубровський В. ","1-15"
"СР","10:00-11:20","1-310","Архітектура інформаційних управляючих систем","0","Гороховський С. ","1-15"
"СР","13:30-14:50","1-108","Архітектура інформаційних управляючих систем","1","Гороховський С. ","1-15"
"ЧТ","11:40-13:00","1-206","Теорія прийняття рішень та керування-2","1","Чорней Р. ","1-15"
"ЧТ","13:30-14:50","1-223","Теорія прийняття рішень та керування-2","0","Чорней Р. ","1-15"
