"ПН","10:00-11:20","3-302","Теорія ймовірностей та математична статистика","0","Чорней Р. ","1-15"
"ПН","11:40-13:00","3-302","Теорія ймовірностей та математична статистика","1","Чорней Р. ","1-14"
"ВТ","08:30-09:50","3-302","Чисельні методи","0","Кашпіровський О. ","1-15"
"ВТ","10:00-11:20","1-309","Чисельні методи","1","Прокоф’єв П. ","1-15"
"СР","10:00-11:20","1-313","Політологія","0","Соломін О. ","1-15"
"СР","11:40-13:00","3-220а","Політологія","3","Соломін О. ","2,4,6,10,12,14"
"СР","13:30-14:50","3-302","Диференціальні рівняння","0","Митник Ю. ","1-15"
"СР","15:00-16:20","3-302","Диференціальні рівняння","1","Захарійченко Ю. ","1-15"
"ЧТ","08:30-09:50","1-313","Диференціальні рівняння","1","Захарійченко Ю. ","1-14"
"ЧТ","10:00-11:20","1-225","Методи оптимізації та дослідження операцій","0","Щестюк Н. ","1-15"
"ЧТ","11:40-13:00","1-225","Методи оптимізації та дослідження операцій","1","Щестюк Н. ","1-15"
"ЧТ","13:30-14:50","3-220а","Безпека життєдіяльності","3","Пашков А. ","5-14"
"ЧТ","15:00-16:20","1-313","Безпека життєдіяльності","0","Пашков А. ","1-10"
"ПТ","08:30-09:50","1-313","Основи охорони праці","0","Копань В. ","1-10"
"ПТ","10:00-11:20","1-313","Філософія","0","Пастушенко Л. ","1-15"
"ПТ","11:40-13:00","1-313","Філософія","0","Пастушенко Л. ","1"
"ПТ","11:40-13:00","1-225","Основи охорони праці","3","Копань В. ","5-14"
"ПТ","15:00-16:20","1-112","Філософія","3","Пастушенко Л. ","2-15"
