"ПН","10:00-11:20","4-499","Українська мова","6","Тодор О.Г.","4-15"
"ВТ","08:30-09:50","4-101","Філософія","0","Кольцов М.О.","1-14"
"ВТ","10:00-11:20","4-100","Філософія","0","Кольцов М.О.","1"
"ВТ","13:30-14:50","9-32","Світова політична історія ХХ-ХХІст.","0","Кірсенко М.В.","1-3"
"ВТ","13:30-14:50","4-310","Українська мова","5","Тодор О.Г.","4-15"
"ВТ","15:00-16:20","9-32","Світова політична історія ХХ-ХХІст.","0","Кірсенко М.В.","1,2,11,12"
"ВТ","15:00-16:20","4-101","Історія України","0","Михайловський В.М.","3-10"
"ВТ","16:30-17:50","4-101","Історія України","0","Михайловський В.М.","1,3-7"
"ВТ","16:30-17:50","9-32","Світова політична історія ХХ-ХХІст.","0","Кірсенко М.В.","2,11,12"
"СР","13:30-14:50","4-207","Інформатика-1","9","Жежерун О. ","7-12"
"СР","15:00-16:20","4-207","Інформатика-1","9","Жежерун О. ","2-15"
"СР","16:30-17:50","1-306","Інформатика-1","10","Сидоренко М.О.","2-15"
"СР","16:30-17:50","4-207","Інформатика-1","8","Борозенний С. О. ","2-15"
"ЧТ","10:00-11:20","4-311","Українська мова","7","Тодор О.Г.","4-15"
"ЧТ","11:40-13:00","4-310","Філософія","4","Кольцов М.О.","2-15"
"ЧТ","13:30-14:50","4-207","Інформатика-1","8","Борозенний С. О. ","7-12"
"ЧТ","15:00-16:20","4-313","Історія України","4","Довженко Н.Д.","3-15"
"ПТ","08:30-09:50","4-101","Українська мова","0","Симонова К.С.","1-3"
"ПТ","08:30-09:50","4-318","Інформатика-1","0","Кирієнко О.В.","5-12"
"ПТ","13:30-14:50","4-310","Основи політичної науки","0","Гомза І.А.","1-11"
"ПТ","15:00-16:20","4-310","Основи політичної науки","0","Гомза І.А.","1,2"
"ПТ","15:00-16:20","4-310","Основи політичної науки","1","Гомза І.А.","3-12"
"ПТ","16:30-17:50","4-310","Основи політичної науки","2","Гомза І.А.","3-12"
"СБ","11:40-13:00","4-207","Інформатика-1","10","Сидоренко М.О.","3-7"
"СБ","13:30-14:50","4-310","Світова політична історія ХХ-ХХІст.","1","Орел Ю.В.","2-13"
"СБ","15:00-16:20","4-310","Світова політична історія ХХ-ХХІст.","2","Орел Ю.В.","2-13"
