"ПН","08:30-09:50","1-331","Інформаційні системи та технології","0","Жежерун О. ","1-15"
"ПН","10:00-11:20","1-331","Інформаційні системи та технології","1","Жежерун О. ","1-15"
"ПН","11:40-13:00","1-112","Методи розробки програмних систем","0","Мейтус В. ","1-15"
"ВТ","08:30-09:50","1-306","Програмна інженерія розподілених корпоративних систем","0","Борозенний С. ","1-15"
"ВТ","10:00-11:20","1-310","Програмна інженерія розподілених корпоративних систем","1","Борозенний С. ","1-14"
"СР","11:40-13:00","1-313","Філософія (поглиблений курс)","0","Лютий Т. ","1-15"
"СР","13:30-14:50","1-225","Філософія (поглиблений курс)","1","Лютий Т. ","3-10"
"ЧТ","10:00-11:20","2-214","Технологія електронних видань","0","Афонін А. ","1-15"
"ЧТ","11:40-13:00","2-214","Технологія електронних видань","1","Афонін А. ","1-14"
"ЧТ","13:30-14:50","1-310","Паралельні та розподілені обчислення","0","Мейтус В. ","1-15"
"ЧТ","15:00-16:20","1-310","Паралельні та розподілені обчислення","1","Мейтус В. ","1-15"
"ПТ","08:30-09:50","1-309","Криптографічні методи захисту інформації","0","Жежерун О. ","1-15"
"ПТ","10:00-11:20","1-309","Криптографічні методи захисту інформації","1","Жежерун О. ","1-14"
"ПТ","11:40-13:00","1-310","Моделювання технічних об’єктів","0","Дубровський В. ","1-15"
"ПТ","13:30-14:50","1-310","Моделювання технічних об’єктів","1","Дубровський В. ","1-15"
