"ПН","08:30-09:50","4-310","Загальна соціологія","1","Хуткий Д. О.","3-15"
"ПН","10:00-11:20","4-310","Загальна соціологія","2","Хуткий Д. О.","3-15"
"ПН","15:00-16:20","9-9","Основи економічної теорії","0","Шевченко О. О.","1-7"
"ПН","15:00-16:20","4-210","Інформатика-1","2","Кирієнко О. В.","9-15"
"ПН","16:30-17:50","9-9","Основи економічної теорії","0","Шевченко О. О.","1-6"
"ПН","16:30-17:50","4-210","Інформатика-1","2","Кирієнко О. В.","7,9-15"
"ВТ","08:30-09:50","4-101","Філософія","0","Кольцов М. О.","1"
"ВТ","08:30-09:50","4-100","Філософія","0","Кольцов М. О.","2-14"
"ВТ","10:00-11:20","4-100","Філософія","0","Кольцов М. О.","1"
"ВТ","11:40-13:00","4-207","Інформатика-1","2","Кирієнко О. В.","7-10"
"ВТ","11:40-13:00","4-207","Інформатика-1","1","Кирієнко О. В.","11-15"
"ВТ","13:30-14:50","9-9","Інформатика-1","0","Кирієнко О. В.","2-9"
"ВТ","15:00-16:20","4-101","Історія України","0","Михайловський В. М.","3-10"
"ВТ","15:00-16:20","9-30","Загальна соціологія","2","Хуткий Д. О.","2"
"ВТ","16:30-17:50","4-101","Історія України","0","Михайловський В. М.","1,3-7"
"СР","13:30-14:50","4-311","Основи економічної теорії","1","Шевченко О. О.","2-13"
"СР","13:30-14:50","4-310","Філософія","3","Кольцов М. О.","2-15"
"СР","15:00-16:20","4-311","Основи економічної теорії","2","Шевченко О. О.","2-13"
"СР","15:00-16:20","4-310","Філософія","1","Кольцов М. О.","2-15"
"СР","16:30-17:50","4-311","Основи економічної теорії","3","Шевченко О. О.","2-13"
"СР","16:30-17:50","4-310","Філософія","2","Кольцов М. О.","2-15"
"ЧТ","08:30-09:50","4-310","Українська мова","2","Симонова К. С.","4-15"
"ЧТ","10:00-11:20","4-310","Українська мова","3","Симонова К. С.","4-15"
"ЧТ","10:00-11:20","4-313","Історія України","3","Довженко Н. Д.","3-15"
"ЧТ","11:40-13:00","4-311","Історія України","1","Надтока О. О.","3-15"
"ЧТ","11:40-13:00","4-313","Історія України","2","Довженко Н. Д.","3-15"
"ЧТ","13:30-14:50","1-206","Інформатика-1","1","Кирієнко О. В.","2-15"
"ЧТ","13:30-14:50","4-312","Інформатика-1","6","Ляшко В. І.","2-15"
"ЧТ","15:00-16:20","4-207","Інформатика-1","7","Ляшко В. І.","2-15"
"ЧТ","16:30-17:50","4-311","Українська мова","4","Лаврінець О. Я.","4-15"
"ПТ","08:30-09:50","4-101","Українська мова","0","Симонова К. С.","1-3"
"ПТ","13:30-14:50","4-311","Загальна соціологія","3","Хуткий Д. О.","2-15"
"ПТ","15:00-16:20","9-9","Загальна соціологія","0","Хуткий Д. О.","1-14"
"ПТ","16:30-17:50","9-9","Загальна соціологія","0","Хуткий Д. О.","1"
"ПТ","16:30-17:50","9-9","Загальна соціологія","1","Хуткий Д. О.","2"
"ПТ","16:30-17:50","4-499","Українська мова","1","Симонова К. С.","4-15"
"СБ","08:30-09:50","4-499","Загальна соціологія","1","Хуткий Д. О.","7"
"СБ","08:30-09:50","4-210","Інформатика-1","3","Ляшко В. І.","5-10"
"СБ","08:30-09:50","4-210","Інформатика-1","7","Ляшко В. І.","11-15"
"СБ","10:00-11:20","4-499","Загальна соціологія","2","Хуткий Д. О.","7"
"СБ","10:00-11:20","4-210","Інформатика-1","4","Ляшко В. І.","5-10"
"СБ","10:00-11:20","4-210","Інформатика-1","6","Ляшко В. І.","11-15"
"СБ","11:40-13:00","4-499","Загальна соціологія","3","Хуткий Д. О.","7"
"СБ","11:40-13:00","1-307","Інформатика-1","3","Ляшко В. І.","2-15"
"СБ","13:30-14:50","1-307","Інформатика-1","4","Ляшко В. І.","2-15"
"СБ","15:00-16:20","1-307","Інформатика-1","5","Ляшко В. І.","2-15"
"СБ","16:30-17:50","4-210","Інформатика-1","5","Ляшко В. І.","5-10"
"ЧТ","10:00-11:20","4-309","Філософія","5","Кольцов М. О.","2-15"
"ЧТ","11:40-13:00","4-310","Філософія","4","Кольцов М. О.","2-15"
"ЧТ","15:00-16:20","4-313","Історія України","4","Довженко Н. Д.","3-15"
"ЧТ","13:30-14:50","4-313","Історія України","5","Довженко Н. Д.","3-15"
"ПН","10:00-11:20","4-499","Українська мова","6","Тодор О. Г.","4-15"
"ВТ","13:30-14:50","4-310","Українська мова","5","Тодор О. Г.","4-15"
"ЧТ","10:00-11:20","4-311","Українська мова","7","Тодор О. Г.","4-15"
"ЧТ","15:00-16:20","4-499","Українська мова","8","Лаврінець О. Я.","4-15"
