"ПН","08:30-09:50","3-302","Українська мова (за професійним спрямуванням)","0","Кадочнікова О. ","1-10"
"ПН","10:00-11:20","2-404","Англійська мова","83","Залєська Л. ","1-15"
"ПН","10:00-11:20","8-8","Англійська мова","85","Прісна Т. ","1-15"
"ПН","10:00-11:20","0-0","Англійська мова","87","Бадьйор Н. ","1-15"
"ПН","10:00-11:20","8-12","Англійська мова","84","Новікова Г. ","1-15"
"ПН","10:00-11:20","8-6","Англійська мова","86","Малайок Ю. ","1-15"
"ПН","11:40-13:00","1-223","Основи комп’ютерних алгоритмів","0","Ковальський І. ","1-15"
"ПН","13:30-14:50","1-206","Основи комп’ютерних алгоритмів","1","Норкін Б. ","1-15"
"ПН","13:30-14:50","1-208","Основи комп’ютерних алгоритмів","4","Гломозда Д. ","1-15"
"ПН","15:00-16:20","1-206","Основи комп’ютерних алгоритмів","2","Норкін Б. ","1-15"
"ПН","15:00-16:20","1-208","Основи комп’ютерних алгоритмів","5","Гломозда Д. ","1-15"
"ПН","16:30-17:50","1-206","Основи комп’ютерних алгоритмів","3","Норкін Б. ","1-15"
"ВТ","11:40-13:00","2-310","Фізика (лаб.)","21","Бутенко Д. ","2,4,6,10,12,14,15"
"ВТ","11:40-13:00","2-310","Фізика (лаб.)","22","Бутенко Д. ","1,3,5,7,9,11,13"
"ВТ","13:30-14:50","2-310","Фізика (лаб.)","11","Бутенко Д. ","1,3,5,7,9,11,13"
"ВТ","13:30-14:50","2-310","Фізика (лаб.)","3","Бутенко Д. ","2,4,6,10,12,14,15"
"ВТ","13:30-14:50","1-307","Фізика","1","Опанасюк Ю. ","2,4,6,10,12,14,15"
"ВТ","15:00-16:20","1-313","Фізика","0","Опанасюк Ю. ","1-15"
"ВТ","16:30-17:50","2-310","Фізика (лаб.)","12","Бутенко Д. ","1,3,5,7,9,11,13"
"ВТ","16:30-17:50","3-220а","Фізика","2","Опанасюк Ю. ","2,4,6,10,12,14,15"
"ВТ","16:30-17:50","3-220а","Фізика","3","Опанасюк Ю. ","2,4,6,10,12,14,15"
"СР","08:30-09:50","1-112","Українська мова (за професійним спрямуванням)","1","Кадочнікова О. ","2-14"
"СР","08:30-09:50","1-112","Українська мова (за професійним спрямуванням)","2","Кадочнікова О. ","2-14"
"СР","11:40-13:00","1-223","Процедурне програмування (на базі Сі/Сі++)","0","Бублик В. ","1-15"
"СР","13:30-14:50","1-112","Українська мова (за професійним спрямуванням)","4","Кадочнікова О. ","2-14"
"СР","13:30-14:50","1-331","Процедурне програмування (на базі Сі/Сі++)","1","Бублик В. ","1-15"
"СР","13:30-14:50","2-214","Процедурне програмування (на базі Сі/Сі++)","3","Борозенний С. ","1-15"
"СР","15:00-16:20","2-214","Процедурне програмування (на базі Сі/Сі++)","2","Борозенний С. ","1-15"
"СР","15:00-16:20","1-112","Українська мова (за професійним спрямуванням)","3","Кадочнікова О. ","2-14"
"СР","16:30-17:50","1-112","Українська мова (за професійним спрямуванням)","5","Кадочнікова О. ","2-14"
"СР","16:30-17:50","2-214","Процедурне програмування (на базі Сі/Сі++)","4","Борозенний С. ","1-15"
"ЧТ","11:40-13:00","2-214","Процедурне програмування (на базі Сі/Сі++)","5","Борозенний С. ","1-15"
"ЧТ","11:40-13:00","1-309","Процедурне програмування (на базі Сі/Сі++)","6","Олецький О. ","1-15"
"ЧТ","11:40-13:00","1-206","Основи комп’ютерних алгоритмів","1","Норкін Б. ","1-15"
"ЧТ","11:40-13:00","1-208","Основи комп’ютерних алгоритмів","4","Гломозда Д. ","1-15"
"ЧТ","13:30-14:50","1-206","Основи комп’ютерних алгоритмів","2","Норкін Б. ","1-15"
"ЧТ","13:30-14:50","1-208","Основи комп’ютерних алгоритмів","5","Гломозда Д. ","1-15"
"ЧТ","15:00-16:20","1-206","Основи комп’ютерних алгоритмів","3","Норкін Б. ","1-15"
"ЧТ","15:00-16:20","3-302","Психологія соціального впливу та успіху","2","Брик О. ","10-13"
"ЧТ","15:00-16:20","3-302","Психологія соціального впливу та успіху","3","Брик О. ","5-9"
"ЧТ","16:30-17:50","1-313","Психологія соціального впливу та успіху","0","Брик О. ","1-9"
"ЧТ","16:30-17:50","1-313","Психологія соціального впливу та успіху","1","Брик О. ","10-13"
"ПТ","08:30-09:50","3-302","Алгебра і теорія чисел","0","Дяченко С. ","1-14"
"ПТ","10:00-11:20","2-404","Англійська мова","83","Залєська Л. ","1-15"
"ПТ","10:00-11:20","8-8","Англійська мова","85","Прісна Т. ","1-15"
"ПТ","10:00-11:20","0-0","Англійська мова","87","Бадьйор Н. ","1-15"
"ПТ","10:00-11:20","8-12","Англійська мова","84","Новікова Г. ","1-15"
"ПТ","10:00-11:20","8-6","Англійська мова","86","Малайок Ю. ","1-15"
"ПТ","11:40-13:00","3-302","Алгебра і теорія чисел","1","Дяченко С. ","1-14"
"ПТ","11:40-13:00","1-225","Алгебра і теорія чисел","2","Крюкова Г. ","1-14"
"ПТ","13:30-14:50","1-223","Веб-технології","0","Гречко А. ","1-14"
"ПТ","15:00-16:20","1-306","Веб-технології","1","Гречко А. ","1-14"
