"ПН","08:30-09:50","3-220а","Системи кодування інформації","0","Руссєв А. ","1-15"
"ПН","10:00-11:20","2-204","Системи кодування інформації","1","Прокоф’єв П. ","1-15"
"ПН","10:00-11:20","1-306","Системи кодування інформації","3","Руссєв А. ","1-15"
"ПН","11:40-13:00","2-204","Системи кодування інформації","2","Прокоф’єв П. ","1-15"
"ПН","11:40-13:00","0-000","Системи кодування інформації","4","Вакансія ","1-15"
"ПН","13:30-14:50","2-214","Архітектура прикладних програм рівня підприємства на мові Java","0","Родіонов А. ","1-14"
"ПН","15:00-16:20","2-214","Архітектура прикладних програм рівня підприємства на мові Java","1","Родіонов А. ","1-14"
"ВТ","08:30-09:50","1-223","Розробка програмного забезпечення (груповий проект)","0","Афонін А. ","1-14"
"ВТ","10:00-11:20","2-214","Розробка програмного забезпечення (груповий проект)","1","Афонін А. ","1-14"
"ВТ","10:00-11:20","2-204","Розробка програмного забезпечення (груповий проект)","3","Костюк О. ","1-14"
"ВТ","10:00-11:20","1-208","Розробка програмного забезпечення (груповий проект)","4","Борозенний С. ","1-14"
"ВТ","11:40-13:00","2-214","Розробка програмного забезпечення (груповий проект)","2","Афонін А. ","1-14"
"СР","08:30-09:50","1-225","Інтелектуальні системи","0","Жежерун О. ","1-15"
"СР","10:00-11:20","1-206","Інтелектуальні системи","1","Жежерун О. ","1-15"
"СР","11:40-13:00","1-206","Інтелектуальні системи","2","Жежерун О. ","1-15"
"СР","13:30-14:50","1-206","Інтелектуальні системи","3","Ковальський І. ","1-15"
"СР","15:00-16:20","1-206","Інтелектуальні системи","4","Ковальський І. ","1-15"
"ЧТ","11:40-13:00","1-225","Теорія прийняття рішень та керування-1","0","Михалевич В. ","1-15"
"ЧТ","13:30-14:50","1-306","Теорія прийняття рішень та керування-1","1","Михалевич В. ","1-15"
"ЧТ","13:30-14:50","2-214","Теорія прийняття рішень та керування-1","3","Лебідь В. ","1-15"
"ЧТ","15:00-16:20","1-306","Теорія прийняття рішень та керування-1","2","Михалевич В. ","1-15"
"ЧТ","15:00-16:20","2-214","Теорія прийняття рішень та керування-1","4","Лебідь В. ","1-15"
"ПТ","08:30-09:50","1-223","Обробка зображень","0","Афонін А. ","1-14"
"ПТ","10:00-11:20","2-214","Обробка зображень","1","Афонін А. ","1-14"
"ПТ","10:00-11:20","2-204","Обробка зображень","4","Борозенний С. ","1-14"
"ПТ","11:40-13:00","2-214","Обробка зображень","2","Афонін А. ","1-14"
"ПТ","11:40-13:00","2-204","Обробка зображень","5","Борозенний С. ","1-14"
"ПТ","13:30-14:50","2-214","Обробка зображень","3","Афонін А. ","1-14"
