"ПН","08:30-09:50","4-317","Міжнародний захист прав національних меншин","0","Курінний О. В. ","1-7"
"ПН","08:30-09:50","4-317","Міжнародний захист прав національних меншин","1","Курінний О. В. ","9-15"
"ПН","10:00-11:20","4-101","Кримінальне процесуальне право","0","Галаган В. І. ","1-7,10-14"
"ПН","11:40-13:00","4-101","Криміналістика","0","Галаган В. І. ","1-7,10-14"
"ПН","13:30-14:50","9-8","Кримінальне процесуальне право","3","Мокрицька І. Я","2-14"
"ПН","15:00-16:20","9-8","Кримінальне процесуальне право","1","Мокрицька І. Я","9,12"
"ПН","16:30-17:50","9-8","Кримінальне процесуальне право","2","Мокрицька І. Я","9,12"
"ПН","16:30-17:50","4-321","Теорія кримінально-правової кваліфікації та застосування кримінальної відповідальності","1","Вакансія ","5-7,10,11"
"ВТ","08:30-09:50","4-317","Конкурентне право","0","Шкляр С. В. ","1-9"
"ВТ","08:30-09:50","4-317","Конкурентне право","1","Шкляр С. В. ","10-15"
"ВТ","10:00-11:20","9-8","Кримінальне процесуальне право","1","Мокрицька І. Я","2-14"
"ВТ","11:40-13:00","9-8","Кримінальне процесуальне право","2","Мокрицька І. Я","2-14"
"ВТ","11:40-13:00","4-308","Криміналістика","1","Сущенко В. М. ","4-13"
"ВТ","13:30-14:50","4-308","Криміналістика","4","Сущенко В. М. ","4-13"
"ВТ","13:30-14:50","9-8","Кримінальне процесуальне право","3","Мокрицька І. Я","9,12"
"ВТ","13:30-14:50","4-321","Господарське процесуальне право","1","Логуш Л. В. ","2-15"
"ВТ","15:00-16:20","4-101","Екологічне право","0","Краснова М. В. ","1-13"
"ВТ","16:30-17:50","4-317","Екологічне право","3","Краснова М. В. ","4-14"
"СР","08:30-09:50","4-101","Податкове право","0","Лобач О. М. ","1-13"
"СР","08:30-09:50","4-319","Міжнародний захист прав національних меншин","1","Курінний О. В. ","14"
"СР","10:00-11:20","9-8","Податкове право","3","Лобач О. М. ","2-14"
"СР","10:00-11:20","4-314","Теорія кримінально-правової кваліфікації та застосування кримінальної відповідальності","0","Вакансія ","1-12"
"СР","10:00-11:20","4-314","Теорія кримінально-правової кваліфікації та застосування кримінальної відповідальності","1","Вакансія ","13,14"
"СР","11:40-13:00","4-308","Криміналістика","6","Сущенко В. М. ","4-13"
"СР","11:40-13:00","9-8","Міжнародне приватне право","1","Солом'яний В. Р. ","4-14"
"СР","13:30-14:50","4-314","Права людини і біомедицина","0","Черненко З. С. ","1,2"
"СР","13:30-14:50","9-8","Міжнародне приватне право","3","Солом'яний В. Р. ","4-14"
"СР","15:00-16:20","4-425","Права людини і біомедицина","0","Черненко З. С. ","1-5"
"СР","15:00-16:20","4-425","Права людини і біомедицина","1","Черненко З. С. ","6-14"
"СР","15:00-16:20","4-308","Криміналістика","2","Сущенко В. М. ","4-13"
"СР","16:30-17:50","4-101","Судова медицина та психіатрія","0","Михайличенко В. Б. ","1-4"
"СР","16:30-17:50","4-321","Судова медицина та психіатрія","3","Біляков А. М. ","5-14"
"ЧТ","08:30-09:50","4-314","Окремі види договірних зобов`язань","0","Гадомський Д. В. ","1-4"
"ЧТ","08:30-09:50","4-314","Окремі види договірних зобов`язань","1","Гадомський Д. В. ","5-13"
"ЧТ","10:00-11:20","4-314","Окремі види договірних зобов`язань","0","Гадомський Д. В. ","1-3"
"ЧТ","10:00-11:20","4-314","Окремі види договірних зобов`язань","2","Гадомський Д. В. ","5-13"
"ЧТ","10:00-11:20","4-308","Криміналістика","3","Сущенко В. М. ","4-13"
"ЧТ","11:40-13:00","4-100","Міжнародне приватне право","0","Солом'яний В. Р. ","1-13"
"ЧТ","13:30-14:50","9-8","Міжнародне приватне право","2","Солом'яний В. Р. ","4-14"
"ЧТ","13:30-14:50","4-308","Криміналістика","5","Сущенко В. М. ","4-13"
"ЧТ","15:00-16:20","4-321","Земельне право","0","Поліводський О. А. ","1-5"
"ЧТ","15:00-16:20","4-321","Земельне право","1","Поліводський О. А. ","6-11"
"ЧТ","16:30-17:50","4-321","Земельне право","0","Поліводський О. А. ","1-4"
"ЧТ","16:30-17:50","4-321","Земельне право","2","Поліводський О. А. ","6-11"
"ПТ","08:30-09:50","4-317","Екологічне право","1","Краснова М. В. ","4-14"
"ПТ","08:30-09:50","4-314","Податкове право","2","Лобач О. М. ","2-14"
"ПТ","10:00-11:20","4-314","Податкове право","1","Лобач О. М. ","2-14"
"ПТ","10:00-11:20","4-317","Екологічне право","2","Краснова М. В. ","4-14"
"ПТ","10:00-11:20","9-4","Юридичний практикум","1","Матвєєва Ю. І. ","1"
"ПТ","11:40-13:00","9-4","Юридичний практикум","1","Матвєєва Ю. І. ","1-15"
"ПТ","11:40-13:00","4-319","Господарське процесуальне право","2","Логуш Л. В. ","2-15"
"ПТ","13:30-14:50","4-101","Господарське процесуальне право","0","Логуш Л. В. ","1-15"
"ПТ","15:00-16:20","4-100","Кримінальне процесуальне право","0","Галаган В. І. ","1-3"
"ПТ","15:00-16:20","4-321","Судова медицина та психіатрія","2","Біляков А. М. ","5-14"
"ПТ","16:30-17:50","4-101","Судова медицина та психіатрія","0","Михайличенко В. Б. ","3,4"
"ПТ","16:30-17:50","4-321","Судова медицина та психіатрія","1","Біляков А. М. ","5-14"
