"ПН","10:00-11:20","9-29","Правнича лінгвістика","1","Артикуца Н. В. ","9-11"
"ПН","11:40-13:00","9-29","Правнича лінгвістика","0","Артикуца Н. В. ","1-6"
"ПН","11:40-13:00","9-29","Правнича лінгвістика","1","Артикуца Н. В. ","7-15"
"ПН","13:30-14:50","8-12","Методика викладання правознавства у вищій школі","0","Сущенко В. М. ","1-5"
"ПН","15:00-16:20","4-314","Юридична компаративістика","0","Б. Футей","3,4"
"ПН","15:00-16:20","4-314","Методика викладання правознавства у вищій школі","0","Сущенко В. М. ","6-9"
"ПН","15:00-16:20","4-314","Методика викладання правознавства у вищій школі","1","Сущенко В. М. ","10-13"
"ПН","16:30-17:50","4-314","Юридична компаративістика","0","Б. Футей","3,4"
"ВТ","08:30-09:50","8-4","Академічне письмо для юристів","1","Хименко С. А. ","1-14"
"ВТ","10:00-11:20","8-4","Академічне письмо для юристів","2","Хименко С. А. ","1-14"
"ВТ","11:40-13:00","4-317","Право зовнішніх відносин ЄС","0","Петров Р. А. ","1-6"
"ВТ","11:40-13:00","4-317","Філософія права","1","Козюбра М. І. ","7-15"
"ВТ","13:30-14:50","4-317","Філософія права","0","Козюбра М. І. ","1-11"
"ВТ","15:00-16:20","4-321","Право зовнішніх відносин ЄС","1","Кисельова Т. С. ","7-13"
"ВТ","16:30-17:50","4-314","Юридична компаративістика","1","Б. Футей","3,4"
"СР","08:30-09:50","8-12","Деліктні зобов`язання в цивільному праві","0","Стефанчук Р. О. ","1-3"
"СР","08:30-09:50","8-12","Деліктні зобов`язання в цивільному праві","1","Стефанчук Р. О. ","4-11"
"СР","10:00-11:20","8-12","Деліктні зобов`язання в цивільному праві","0","Стефанчук Р. О. ","1-5"
"СР","11:40-13:00","4-319","Теорія правозастосування","0","Матвєєва Ю. І. ","1-6"
"СР","11:40-13:00","4-319","Теорія правозастосування","1","Матвєєва Ю. І. ","7-13"
"СР","13:30-14:50","4-425","Актуальні проблеми цивільного права","0","Федорчук Д. Е. ","1-11"
"СР","15:00-16:20","4-317","Юридична компаративістика","0","Б. Футей","3,4"
"СР","16:30-17:50","4-314","Юридична компаративістика","1","Б. Футей","3,4"
"ЧТ","08:30-09:50","8-4","Академічне письмо для юристів","1","Хименко С. А. ","1-14"
"ЧТ","10:00-11:20","8-4","Академічне письмо для юристів","2","Хименко С. А. ","1-14"
"ЧТ","11:40-13:00","4-317","Право іноземих громадян в ЄС","0","Петров Р. А. ","2-7"
"ЧТ","11:40-13:00","4-317","Право іноземих громадян в ЄС","1","Петров Р. А. ","9-14"
"ЧТ","13:30-14:50","4-319","Юридична компаративістика","1","Б. Футей","3,4"
"ЧТ","13:30-14:50","4-319","Актуальні проблеми цивільного права","1","Федорчук Д. Е. ","6-14"
