"ПН","08:30-09:50","1-313","Програмування","0","Глибовець А. ","2-14"
"ПН","11:40-13:00","1-331","Програмне забезпечення ПЕОМ","2","Проценко В. ","2,4,6,9,10,12,14"
"ПН","13:30-14:50","1-108","Програмування","1","Ющенко Ю. ","2-14"
"ПН","13:30-14:50","1-331","Програмне забезпечення ПЕОМ","2","Проценко В. ","2,4,6,9,10,12,14"
"ПН","13:30-14:50","1-331","Програмування","1","Сидоренко М. ","3"
"ПН","13:30-14:50","1-331","Програмування","4","Сидоренко М. ","5"
"ПН","15:00-16:20","1-108","Програмування","3","Сидоренко М. ","2-14"
"ПН","15:00-16:20","1-331","Програмне забезпечення ПЕОМ","4","Сініцина Р. ","2,4,6,9,10,12,14"
"ПН","15:00-16:20","1-331","Програмування","1","Ющенко Ю. ","3"
"ПН","15:00-16:20","1-331","Програмування","2","Ющенко Ю. ","5"
"ПН","16:30-17:50","1-108","Програмування","4","Сидоренко М. ","2-14"
"ПН","16:30-17:50","1-331","Програмне забезпечення ПЕОМ","4","Сініцина Р. ","2,4,6,9,10,12,14"
"ВТ","11:40-13:00","3-302","Дискретна математика","0","Чорней Р. ","1-15"
"ВТ","13:30-14:50","1-223","Дискретна математика","1","Чорней Р. ","1-15"
"ВТ","13:30-14:50","1-112","Дискретна математика","2","Олійник Б. ","1-15"
"СР","10:00-11:20","1-223","Математичний аналіз","0","Митник Ю. ","1-15"
"СР","11:40-13:00","1-225","Математичний аналіз","1","Митник Ю. ","1-15"
"СР","11:40-13:00","3-220а","Математичний аналіз","2","Вакансія ","1-15"
"СР","13:30-14:50","1-223","Програмне забезпечення ПЕОМ","0","Проценко В. ","1-3,5-10"
"ЧТ","11:40-13:00","3-220а","Математичний аналіз","1","Митник Ю. ","1-15"
"ЧТ","11:40-13:00","1-112","Математичний аналіз","2","Вакансія ","1-15"
"ПТ","08:30-09:50","1-310","Програмування","0","Глибовець А. ","4,5"
