"ПН","08:30-09:50","3-302","Теорія ймовірностей та математична статистика","0","Чорней Р. ","11"
"ПН","10:00-11:20","3-302","Теорія ймовірностей та математична статистика","0","Чорней Р. ","1-14"
"ПН","11:40-13:00","3-302","Теорія ймовірностей та математична статистика","1","Чорней Р. ","1-14"
"ПН","13:30-14:50","1-223","Бази даних та інформаційні системи","0","Проценко В. ","1,3"
"ВТ","08:30-09:50","3-302","Чисельні методи","0","Кашпіровський О. ","1-15"
"ВТ","10:00-11:20","1-309","Чисельні методи","1","Прокоф’єв П. ","1-15"
"ВТ","11:40-13:00","1-309","Чисельні методи","2","Прокоф’єв П. ","1-15"
"ВТ","13:30-14:50","1-313","Бази даних та інформаційні системи","0","Проценко В. ","1-14"
"ВТ","15:00-16:20","1-206","Бази даних та інформаційні системи","1","Проценко В. ","1-14"
"ВТ","15:00-16:20","1-208","Бази даних та інформаційні системи","2","Сініцина Р. ","1-14"
"СР","10:00-11:20","1-112","Диференціальні рівняння","0","Захарійченко Ю. ","1"
"СР","11:40-13:00","3-302","Диференціальні рівняння","0","Захарійченко Ю. ","1-14"
"СР","13:30-14:50","3-302","Диференціальні рівняння","1","Захарійченко Ю. ","1-14"
"ЧТ","10:00-11:20","3-302","Методи оптимізації та дослідження операцій","0","Щестюк Н. ","1-15"
"ЧТ","11:40-13:00","3-302","Методи оптимізації та дослідження операцій","1","Щестюк Н. ","1-15"
