"     ""Затверджую""",,,,,,,,
"     Декан факультету правничих наук                             Мелешевич А.А.",,,,,,,,
,,,,,,,,
"Розклад занять на додатковий період весняного семестру 2011/2012 н.р. ФПвН 1 р.н.",,,,,,,,
,,,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.",,,
,,,,,,,,
"Пн.","08.30-09.50","2-6","Англійська мова- Буреніна Т.Г.","А27","6-3",,,"нема 1 т"
,,"2-6","Англійська мова -  Долинська О.Р.","А28","2-406",,,
,,"2-6","Англійська мова - Харченко О.О.","А29","8-12",,,
,"10.00-11.20","3,5","ГК ""Вступ до правових досліджень""","Лекція","4-314",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
,,"4,6","ГК ""Вступ до правових досліджень""","Лекція","4-425",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
,"11.40-13.00","3-6","Конституційне право України",1,"4-314",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
,"13.30-14.50","4-6","ГК ""Вступ до правових досліджень""",1,"4-314",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
,,"3","Історія політико-правових учень",1,"4-314",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
,"15.00-16.20","2-6","Логіка - ст. викл. Пухтецька А.А.",2,"4-317",,,
,"16.30-17.50","2-4","Логіка - ст. викл. Пухтецька А.А.","Лекція","4-317",,,
"Вт.","08.30-09.50","1,2","Основи римського права-","Лекція","4-425",,,
,,,"ст.викл. Солом'яний В.Р.",,,,,
,,"4-6","Основи римського права-",1,"4-317",,,
,,,"ст.викл. Солом'яний В.Р.",,,,,
,"10.00-11.20","2,4-6","Юридична деонтологія і професійна етика - ",1,"4-319",,,"нема 3 т"
,,,"доц. Непийвода В.П.",,,,,
,,"1","Основи римського права-","Лекція","4-425",,,
,,,"ст.викл. Солом'яний В.Р.",,,,,
,,"4-6","Основи римського права-",2,"4-317",,,
,,,"ст.викл. Солом'яний В.Р.",,,,,
,"11.40-13.00","2,4-6","Юридична деонтологія і професійна етика - ",2,"4-317",,,
,,,"доц. Непийвода В.П.",,,,,
,,"1","Конституційне право України - ","Лекція","4-100",,,
,,,"доц. Савенко М.Д.",,,,,
,,"4","Історія міжнародного права - ст.викл. Курінний О.В.",1,"4-321",,,
,"13.30-14.50","1,2,5","Конституційне право України - ","Лекція","4-100",,,
,,,"доц. Савенко М.Д.",,,,,
,,"4","Історія міжнародного права - ст.викл. Курінний О.В.",2,"4-321",,,
"Ср.","08.30-09.50","1,2,5,6","Англійська мова- Буреніна Т.Г.","А27","6-3",,,"нема 3,4 т"
,,"1,2,5,6","Англійська мова -  Долинська О.Р.","А28","2-406",,,
,,"1,2,5,6","Англійська мова - Харченко О.О.","А29","8-12",,,
,"10.00-11.20","1,2","Історія політико-правових учень","Лекція","4-314",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
,,"5,6","Історія політико-правових учень",1,"4-314",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
,"11.40-13.00","1","Історія політико-правових учень","Лекція","4-314",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
,,"2","Історія міжнародного права - ст.викл. Курінний О.В.","Лекція","4-101",,,
,,"5,6","Історія міжнародного права - ст.викл. Курінний О.В.",1,"4-425",,,
,"13.30-14.50","1,2","Історія міжнародного права - ст.викл. Курінний О.В.","Лекція","4-100",,,
,,"5,6","Історія міжнародного права - ст.викл. Курінний О.В.",2,"4-425",,,
,"15.00-16.20","1,2","Фізичне виховання",,,,,
"Чт.","08.30-09.50","1-6","Історія міжнародного права - ст.викл. Курінний О.В.","Лекція","4-317",,,
,"10.00-11.20","1","Історія міжнародного права - ст.викл. Курінний О.В.","Лекція","4-317",,,
,,"2-6","Юридична деонтологія і професійна етика - ",1,"4-319",,,
,,,"доц. Непийвода В.П.",,,,,
,,"2-6","Історія міжнародного права - ст.викл. Курінний О.В.",2,"4-317",,,
,"11.40-13.00","1","Юридична деонтологія і професійна етика - ","Лекція","4-101",,,
,,,"доц. Непийвода В.П.",,,,,
,,"2-6","Юридична деонтологія і професійна етика - ",2,"4-319",,,
,,,"доц. Непийвода В.П.",,,,,
,,"2-6","Історія міжнародного права - ст.викл. Курінний О.В.",1,"8--12",,,
,"13.30-14.50","2-5","Юридична деонтологія і професійна етика - ","Лекція","4-101",,,
,,,"доц. Непийвода В.П.",,,,,
,,"1","Конституційне право України - ","Лекція","4-100",,,
,,,"доц. Савенко М.Д.",,,,,
,"15.00-16.20",1,"Логіка - ст. викл. Пухтецька А.А.","Лекція","4-100",,,
"Пт.","08.30-09.50","1-6","Англійська мова- Буреніна Т.Г.","А27","6-3",,,
,,"1-6","Англійська мова -  Долинська О.Р.","А28","2-406",,,
,,"1-6","Англійська мова - Харченко О.О.","А29","8-12",,,
,"10.00-11.20","1","ГК ""Вступ до правових досліджень""","Лекція","4-314",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
,,"3-6","ГК ""Вступ до правових досліджень""",1,"4-314",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
,"11.40-13.00","1,2","Фізичне виховання",,,,,
,,"3-6","Логіка - ст. викл. Пухтецька А.А.",1,"4-317",,,
,,"3-6","Конституційне право України",2,"4-314",,,
,,," - ст.викл. Хворостянкіна А.В.",,,,,
,"13.30-14.50","2-6","Логіка - ст. викл. Пухтецька А.А.","Лекція","4-101",,,
,"15.00-16.20","2","Логіка - ст. викл. Пухтецька А.А.",1,"4-317",,,
,,"3--5","Логіка - ст. викл. Пухтецька А.А.","Лекція","4-101",,,
,"Провідний спеціаліст деканату ",,,"Кучер В.П.",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,"Історія держави і права зарубіжних",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,"16.30-17.50",," країн- ст.викл. Шмарьова Т.О.",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,"      ",
,,,,,,,,
,,,,,,,,
,,,,,,," ",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,"доц.Цельєв О.В.",,,,,
,,,,,,,,
,,,,,,,,
,"15.00-16.20","1",,,,,,
,,"6-10",,,,,,
