"     ""Затверджую""",,,,,,
"     Декан факультету правничих наук                             Мелешевич А.А.",,,,,,
,,,,,,
"Розклад занять на додатковий період весняного семестру 2011/12 н.р. ФПвН 2 р.н.",,,,,,
,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.",
,,,,,,
"Пн.","08.30-09.50","2-6","Англійська мова- Залєська Л.М.","А63","4-313","нема 1 т"
,,"2-6","Англійська мова- Бадьйор Н.Б.","А64","8-4",
,,"2-6","Англійська мова - Іващенко П.А.","А65","5-208",
,,"2-6","Англійська мова- Прісна Т.Б.","А66","8-11",
,,"2-6","Англійська мова- Малайок Ю.М.","А67","4-311",
,"10.00-11.20","2-6","Цивільне право- ст.викл. Колінчук Х.Г.",2,"4-319",
,"11.40-13.00","2-6","Цивільне право- ст.викл. Колінчук Х.Г.",1,"4-319",
,,"2","Кримінальне право- доц. Азаров Д.С.",2,"4-321",
,,"3-6","Кримінальне право- доц. Азаров Д.С.",2,"4-425",
,"13.30-14.50","2-6","Правові основи та етика паблик ",1,"4-317",
,,,"рілейшнз - ст. викл. Власюк О.Я.",,,
,"15.00-16.20",,,,,
"Вт.","08.30-09.50","1,2,4","Цивільне право- проф.Стефанчук Р.О.","Лекція","4-100",
,"10.00-11.20","1,2,4,5","Цивільне право- проф.Стефанчук Р.О.","Лекція","4-100","нема 3 т"
,"11.40-13.00","2,4-6","Кримінальне право- доц.Горох О.П.",3,"4-314",
,"13.30-14.50","2,4-6","Кримінальне право- доц.Горох О.П.",1,"4-314",
,,"2","Цивільне право- ст.викл.Соломяний В.Р.",3,"4-319",
,"15.00-16.30","1,2,4,5","Правові основи та етика паблик ","Лекція","4-100",
,,,"рілейшнз - доц. Зінченко А.Г.",,,
,"16.30-17.50","1,2,4","Правові основи та етика паблик ","Лекція","4-100",
,,,"рілейшнз - доц. Зінченко А.Г.",,,
"Ср.","08.30-09.50","1,2,5,6","Англійська мова- Залєська Л.М.","А63","4-313","нема 3,4 т"
,,"1,2,5,6","Англійська мова- Бадьйор Н.Б.","А64","8-4",
,,"1,2,5,6","Англійська мова - Іващенко П.А.","А65","5-208",
,,"1,2,5,6","Англійська мова- Прісна Т.Б.","А66","8-11",
,,"1,2,5,6","Англійська мова- Малайок Ю.М.","А67","4-311",
,"10.00-11.20","1,2,5,6","Кримінальне право- доц. Азаров Д.С.","Лекція","4-100",
,"11.40-13.00","1,2,5","Кримінальне право- доц. Азаров Д.С.","Лекція","4-100",
,"13.30-14.50","2,5,6","Основи психології та педагогіки",1,"4-317",
,,," ст. викл. Яковенко О.М.",,,
,"15.00-16.30","1,2,5,6","Основи психології та педагогіки","Лекція","4-100",
,,," ст. викл. Яковенко О.М.",,,
,"16.30-17.50","1,2,5,6","Основи психології та педагогіки","Лекція","4-100",
,,," ст. викл. Яковенко О.М.",,,
"Чт.","08.30-09.50","1-6","Цивільне право- ст.викл.Соломяний В.Р.",3,"4-319",
,,"3","Кримінальне право- доц.Горох О.П.",1,"4-314",
,"10.00-11.20","4,5","Цивільне право- ст.викл. Колінчук Х.Г.",2,"9-8",
,,"2,4-6","Кримінальне право- доц.Горох О.П.",1,"4-314",
,,"3","Кримінальне право- доц.Горох О.П.",3,"4-314",
,"11.40-13.00","4,5","Цивільне право- ст.викл. Колінчук Х.Г.",1,"9-8",
,,"2,4-6","Кримінальне право- доц.Горох О.П.",3,"4-314",
,,"2,4-6","Кримінальне право- доц. Азаров Д.С.",2,"4-317",
,"13.30-14.50",1,"Формування та розвиток персонального","Лекція","4-101",
,,," іміджу доц. Наумов В.О.",,,
,,"2--6","Формування та розвиток персонального",1,"4-317",
,,," іміджу доц. Наумов В.О.",,,
,"15.00-16.30","1--6","Формування та розвиток персонального","Лекція","4-101",
,,," іміджу доц. Наумов В.О.",,,
,"16.30-17.50",,,,,
"Пт.","08.30-09.50","1-6","Англійська мова- Залєська Л.М.","А63","4-313",
,,"1-6","Англійська мова- Бадьйор Н.Б.","А64","8-4",
,,"1-6","Англійська мова - Іващенко П.А.","А65","5-208",
,,"1-6","Англійська мова- Прісна Т.Б.","А66","8-11",
,,"1-6","Англійська мова- Малайок Ю.М.","А67","4-311",
,"10.00-11.20","3--5","Основи психології та педагогіки",1,"4-317",
,,," ст. викл. Яковенко О.М.",,,
,"11.40-13.00",,,,,
,,,,,,
,"Провідний спеціаліст деканату ",,,"Кучер В.П.",,
