,,,,,
,,,,,
"""Затверджую""",,,,,
"Декан ф-ту правничих наук                             Мелешевич А.А.",,,,,
"          Розклад оглядових лекцій з навчальних дисциплін",,,,,
"            для складання державних екзаменів студентів 4 р.н.",,,,,
,,,"2011-2012 н.р.",,
"День","Час","Пара","Дисципліна",,"Корпус, ауд."
,,,,,
"Пн.","13.30-14.50",3,"Теорія держави і права-доц. Цельєв О.В.",1,"4-100"
,"15.00-16.20",3,"Конституційне право України- проф.Савенко М.Д.",1,"4-100"
,"16.30-17.50",3,"Конституційне право України- проф.Савенко М.Д.",1,"4-100"
"Чт.","10.00-11.20",3,"Адміністративне право і процес - доц. Іщенко Ю.В.",1,"4-321"
,"11.40-13.00",3,"Адміністративне право і процес - доц. Іщенко Ю.В.",1,"4-321"
,,3,"Кримінальне право- доц. Горох О.П.",1,"4-317"
,"13.30-14.50",3,"Теорія держави і права-доц. Цельєв О.В.",1,"4-100"
,"15.00-16.20",3,"Цивільне процесуальне право - ст. викл. Карнаух",1,"4-321"
,"16.30-17.50",3,"Цивільне процесуальне право - ст. викл. Карнаух",1,"4-321"
"Пт.","10.00-11.20",3,"Кримінальне процесуальне право -проф. Галаган В.І.",1,"4-319"
,,3,"Адміністративне право і процес - доц. Іщенко Ю.В.",1,"4-321"
,"11.40-13.00",3,"Кримінальне процесуальне право -проф. Галаган В.І.",1,"4-319"
,,3,"Адміністративне право і процес - доц. Іщенко Ю.В.",1,"4-321"
,"13.30-14.50",3,"Кримінальне процесуальне право -проф. Галаган В.І.",1,"4-317"
,"15.00-16.20",3,"Теорія держави і права-доц. Цельєв О.В.",1,"4-100"
,"16.30-17.50",3,"Цивільне процесуальне право - ст. викл. Карнаух",1,"4-321"
,,3,"Кримінальне право- доц. Горох О.П.",1,"4-319"
"Сб.","08.30-09.50",3,"Адміністративне право і процес - доц. Іщенко Ю.В.",1,"4-319"
,,3,"Цивільне право - проф.Стефанчук Р.О.",1,"4-321"
,,3,"Кримінальне процесуальне право -проф. Галаган В.І.",1,"4-317"
,"10.00-11.20",3,"Цивільне право - проф.Стефанчук Р.О.",1,"4-321"
,,3,"Адміністративне право і процес - доц. Іщенко Ю.В.",1,"4-319"
,,3,"Кримінальне процесуальне право -проф. Галаган В.І.",1,"4-317"
,"11.40-13.00",3,"Конституційне право України- проф. Савенко М.Д.",1,"4-100"
,"13.30-14.50",3,"Конституційне право України- проф. Савенко М.Д.",1,"4-100"
"Пн.","08.30-09.50",4,"Адміністративне право і процес - доц. Іщенко Ю.В.",1,"4-321"
,"10.00-11.20",4,"Адміністративне право і процес - доц. Іщенко Ю.В.",1,"4-321"
,"11.40-13.00",4,"Теорія держави і права-доц. Цельєв О.В.",1,"4-100"
,"13.30-14.50",4,"Теорія держави і права-доц. Цельєв О.В.",1,"4-100"
,"15.00-16.20",4,"Цивільне процесуальне право - ст. викл. Карнаух",1,"4-321"
,,4,"Кримінальне право- доц. Горох О.П.",1,"4-319"
,"16.30-17.50",4,"Цивільне процесуальне право - ст. викл. Карнаух",1,"4-321"
,,4,"Кримінальне право- доц. Горох О.П.",1,"4-319"
"Вт.","08.30-09.50",4,"Адміністративне право і процес - доц. Іщенко Ю.В.",1,"4-321"
,,4,"Цивільне право - проф.Стефанчук Р.О.",1,"4-319"
,"10.00-11.20",4,"Адміністративне право і процес - доц. Іщенко Ю.В.",1,"4-321"
,,4,"Цивільне право - проф.Стефанчук Р.О.",1,"4-319"
,"11.40-13.00",4,"Цивільне право - проф.Стефанчук Р.О.",1,"4-319"
,"13.30-14.50",4,"Конституційне право України- проф.Савенко М.Д.",1,"4-100"
,"15.00-16.20",4,"Кримінальне право- доц. Горох О.П.",1,"4-321"
,"Провідний спеціаліст деканату ",,,,"Кучер В.П."
