"ПН","08:30-09:50","6-3","Англійська мова","27","Буреніна Т. Г. ","2-6"
"ПН","08:30-09:50","2-406","Англійська мова","28","Долинська О. Р. ","2-6"
"ПН","08:30-09:50","8-12","Англійська мова","29","Харченко О. О. ","2-6"
"ПН","10:00-11:20","4-101","Логіка","0","Пухтецька А. А. ","2"
"ПН","10:00-11:20","4-425","Логіка","0","Пухтецька А. А. ","3-6"
"ПН","11:40-13:00","4-317","Логіка","2","Пухтецька А. А. ","2-6"
"ПН","11:40-13:00","4-314","Конституційне право України","1","Хворостянкіна А. В. ","2-5"
"ПН","13:30-14:50","4-314","ГК ""Вступ до правових досліджень""","0","Хворостянкіна А. В. ","2-5"
"ПН","13:30-14:50","4-314","ГК ""Вступ до правових досліджень""","1","Хворостянкіна А. В. ","6"
"ПН","15:00-16:20","4-314","ГК ""Вступ до правових досліджень""","1","Хворостянкіна А. В. ","5"
"ПН","15:00-16:20","4-314","Історія політико-правових учень","1","Хворостянкіна А. В. ","3"
"ВТ","08:30-09:50","4-425"," Основи римського права","0","Солом'яний В. Р. ","1,2"
"ВТ","08:30-09:50","4-317","Основи римського права","1","Солом'яний В. Р. ","4-6"
"ВТ","10:00-11:20","4-319","Юридична деонтологія і професійна етика","1","Непийвода В. П. ","2,4-6"
"ВТ","10:00-11:20","4-100","Основи римського права","0","Солом'яний В. Р. ","1"
"ВТ","10:00-11:20","4-317","Основи римського права","2","Солом'яний В. Р. ","4-6"
"ВТ","11:40-13:00","4-317","Юридична деонтологія і професійна етика","2","Непийвода В. П. ","2,4-6"
"ВТ","11:40-13:00","4-100","Конституційне право України","0","Савенко М. Д. ","1"
"ВТ","11:40-13:00","4-321","Історія міжнародного права","1","Курінний О. В. ","4"
"ВТ","13:30-14:50","4-100","Конституційне право України","0","Савенко М. Д. ","1,2,5"
"ВТ","13:30-14:50","4-321","Історія міжнародного права","2","Курінний О. В. ","4"
"СР","08:30-09:50","6-3","Англійська мова","27","Буреніна Т. Г. ","1,2,5,6"
"СР","08:30-09:50","2-406","Англійська мова","28","Долинська О. Р. ","1,2,5,6"
"СР","08:30-09:50","8-12","Англійська мова","29","Харченко О. О. ","1,2,5,6"
"СР","10:00-11:20","4-314","Історія політико-правових учень","0","Хворостянкіна А. В. ","1,2"
"СР","10:00-11:20","4-314","Історія політико-правових учень","1","Хворостянкіна А. В. ","5,6"
"СР","11:40-13:00","4-314","Історія політико-правових учень","0","Хворостянкіна А. В. ","1"
"СР","11:40-13:00","4-101","Історія міжнародного права","0","Курінний О. В. ","2"
"СР","11:40-13:00","4-425","Історія міжнародного права","1","Курінний О. В. ","5,6"
"СР","13:30-14:50","4-101","Історія міжнародного права","0","Курінний О. В. ","1,2"
"СР","13:30-14:50","4-425","Історія міжнародного права","2","Курінний О. В. ","5,6"
"ЧТ","08:30-09:50","4-317","Історія міжнародного права","0","Курінний О. В. ","1-6"
"ЧТ","10:00-11:20","4-317","Історія міжнародного права","0","Курінний О. В. ","1"
"ЧТ","10:00-11:20","4-319","Юридична деонтологія і професійна етика","1","Непийвода В. П. ","2-6"
"ЧТ","10:00-11:20","4-317","Історія міжнародного права","2","Курінний О. В. ","2-6"
"ЧТ","11:40-13:00","4-100","Юридична деонтологія і професійна етика","0","Непийвода В. П. ","1"
"ЧТ","11:40-13:00","4-319","Юридична деонтологія і професійна етика","2","Непийвода В. П. ","2-6"
"ЧТ","11:40-13:00","8-12","Історія міжнародного права","1","Курінний О. В. ","2-6"
"ЧТ","13:30-14:50","4-101","Юридична деонтологія і професійна етика","0","Непийвода В. П. ","2-5"
"ЧТ","13:30-14:50","4-100","Конституційне право України","0","Савенко М. Д. ","1"
"ПТ","08:30-09:50","6-3","Англійська мова","27","Буреніна Т. Г. ","1-6"
"ПТ","08:30-09:50","2-406","Англійська мова","28","Долинська О. Р. ","1-6"
"ПТ","08:30-09:50","8-12","Англійська мова","29","Харченко О. О. ","1-6"
"ПТ","10:00-11:20","4-100","Логіка","0","Пухтецька А. А. ","1-6"
"ПТ","11:40-13:00","4-100","Логіка","0","Пухтецька А. А. ","1"
"ПТ","11:40-13:00","4-317","Логіка","1","Пухтецька А. А. ","2-6"
"ПТ","11:40-13:00","4-314","Конституційне право України","2","Хворостянкіна А. В. ","2-5"
"ПТ","13:30-14:50","4-314","ГК ""Вступ до правових досліджень""","0","Хворостянкіна А. В. ","1"
"ПТ","13:30-14:50","4-314","ГК ""Вступ до правових досліджень""","1","Хворостянкіна А. В. ","2-6"
