"ПН","10:00-11:20","4-314","ННС ""Захист інтересів держави в Міжнародному Суді Справедливості ООН""","1","Антонович М. М. ","2,4,6"
"ПН","10:00-11:20","4-101","Основи охорони праці","0","Копань В. С. ","3,5"
"ПН","11:40-13:00","4-101","Основи охорони праці","0","Копань В. С. ","2-6"
"ПН","13:30-14:50","4-101","Кримінальне право","0","Азаров Д. С. ","2-6"
"ПН","15:00-16:20","4-101","Кримінальне право","0","Азаров Д. С. ","2-6"
"ПН","16:30-17:50","4-314","Контрольні механізми як засоби імплементаціїміжн. стандартів прав людини","0","cт. викл. Крахмальова К. О. ","2"
"ПН","16:30-17:50","4-314","Контрольні механізми як засоби імплементаціїміжн. стандартів прав людини","1","cт. викл. Крахмальова К. О. ","3.4"
"ВТ","08:30-09:50","4-319","Право та суспільство","0","Асадча О. І. ","1"
"ВТ","08:30-09:50","4-314","Кримінальне право","3","Горох О. П. ","2,4-6"
"ВТ","10:00-11:20","4-101","Кримінальне право","0","Азаров Д. С. ","1"
"ВТ","10:00-11:20","4-314","Кримінальне право","1","Горох О. П. ","2,4-6"
"ВТ","11:40-13:00","4-425","Кримінологія","0","Костенко О. М. ","1,2,4-6"
"ВТ","13:30-14:50","4-425","Кримінологія","0","Костенко О. М. ","1,2,4-6"
"ВТ","15:00-16:20","4-425","Кримінологія","1","Костенко О. М. ","2,4-6"
"ВТ","16:30-17:50","4-314","Кримінальне право","2","Горох О. П. ","2,4-6"
"СР","10:00-11:20","4-317","Контрольні механізми як засоби імплементаціїміжн. стандартів прав людини","0","cт. викл. Крахмальова К. О. ","1,2,5"
"СР","11:40-13:00","4-317","Контрольні механізми як засоби імплементаціїміжн. стандартів прав людини","1","cт. викл. Крахмальова К. О. ","2,5"
"СР","13:30-14:50","4-101","Права людини та їх захист","0","Савенко М. Д. ","1,2,5,6"
"СР","15:00-16:20","4-101","Права людини та їх захист","0","Савенко М. Д. ","1,2,5,6"
"ЧТ","08:30-09:50","8-12","Право та суспільство","1","Асадча О. І. ","1-6"
"ЧТ","10:00-11:20","8-12","Право та суспільство","0","Асадча О. І. ","1-5"
"ЧТ","11:40-13:00","8-11","Кримінологія","1","Костенко О. М. ","4-6"
"ЧТ","13:30-14:50","4-314","Кримінальне право","2","Горох О. П. ","1-6"
"ЧТ","15:00-16:20","9-4","Юридичний практикум","1","Матвєєва Ю. І. ","5,6"
"ЧТ","15:00-16:20","4-314","Кримінальне право","3","Горох О. П. ","1-6"
"ЧТ","15:00-16:20","4-317","Права людини та їх захист","1","Савенко М. Д. ","2-4"
"ЧТ","16:30-17:50","4-314","Кримінальне право","1","Горох О. П. ","1-6"
"ЧТ","16:30-17:50","4-317","Права людини та їх захист","2","Савенко М. Д. ","2-4"
"ЧТ","16:30-17:50","9-4","Юридичний практикум","2","Матвєєва Ю. І. ","5,6"
"ПТ","08:30-09:50","4-314","Права людини та їх захист","1","Савенко М. Д. ","2,3,5,6"
"ПТ","10:00-11:20","4-314","Права людини та їх захист","2","Савенко М. Д. ","2,3,5,6"
"ПТ","11:40-13:00","4-101","Права людини та їх захист","0","Савенко М. Д. ","1"
"ПТ","13:30-14:50","4-100","Права людини та їх захист","0","Савенко М. Д. ","1"
"ПТ","15:00-16:20","9-4","Юридичний практикум","1","Матвєєва Ю. І. ","1-6"
"ПТ","16:30-17:50","9-4","Юридичний практикум","2","Матвєєва Ю. І. ","1-6"
