"ПН","08:30-09:50","1-333","Біометрія","0","Терновська Т. К. ","2-11"
"ПН","10:00-11:20","2-410","Молекулярна генетика","0","Антонюк М. З. ","4"
"ПН","10:00-11:20","2-410","Молекулярна генетика","1","Антонюк М. З. ","6,8,10"
"ПН","10:00-11:20","2-410","Спеціальна гістологія","1","Безусько А. Г. ","3,5,7,9,11,12"
"ПН","13:30-14:50","2-410","Імунологія","0","Ткачова Д. Л. ","2-12"
"ПН","15:00-16:20","2-410","Імунологія","0","Ткачова Д. Л. ","2,3"
"ПН","15:00-16:20","2-410","Імунологія","1","Ткачова Д. Л. ","4-12"
"ВТ","13:30-14:50","2-402","Мікробіологія","0","Фуртат І. М. ","1-11"
"ВТ","13:30-14:50","2-402","Мікробіологія","1","Фуртат І. М. ","12"
"ВТ","15:00-16:20","2-402","Мікробіологія","0","Фуртат І. М. ","1"
"ВТ","15:00-16:20","2-402","Мікробіологія","1","Фуртат І. М. ","2-12"
"СР","08:30-09:50","1-0П","Біометрія","1","Терновська Т. К. ","2-12"
"СР","10:00-11:20","1-0П","Біометрія","2","Терновська Т. К. ","2-12"
"СР","13:30-14:50","2-402","Соціологія","3","Малиш Л. О. ","1-12"
"СР","15:00-16:20","2-402","Соціологія","2","Малиш Л. О. ","1-12"
"СР","16:30-17:50","2-402","Соціологія","1","Малиш Л. О. ","1-12"
"ЧТ","08:30-09:50","1-333","Молекулярна генетика","0","Антонюк М. З. ","1-12"
"ЧТ","10:00-11:20","2-410","Спеціальна гістологія","0","Безусько А. Г. ","1-11"
"ЧТ","11:40-13:00","2-410","Молекулярна генетика","0","Антонюк М. З. ","1"
"ЧТ","11:40-13:00","2-104","Молекулярна генетика","1","Антонюк М. З. ","2,4,6,8,10,12"
"ЧТ","13:30-14:50","2-104","Молекулярна генетика","1","Антонюк М. З. ","2,4,6,8,10"
"ЧТ","13:30-14:50","2-304","Спеціальна гістологія","2","Безусько А. Г. ","7-12"
"ЧТ","15:00-16:20","2-104","Молекулярна генетика","2","Антонюк М. З. ","2,4,6,8,10,12"
"ЧТ","15:00-16:20","2-304","Спеціальна гістологія","1","Безусько А. Г. ","7-12"
"ЧТ","16:30-17:50","2-104","Молекулярна генетика","2","Антонюк М. З. ","2,4,6,8,10"
"ПТ","08:30-09:50","1-0П","Біометрія","1","Терновська Т. К. ","9-12"
"ПТ","10:00-11:20","1-0П","Біометрія","2","Терновська Т. К. ","9-12"
"ПТ","11:40-13:00","2-410","Мікробіологія","1","Фуртат І. М. ","1"
"ПТ","13:30-14:50","1-313","Соціологія","0","Малиш Л. О. ","1-12"
"ПТ","15:00-16:20","1-313","Соціологія","0","Малиш Л. О. ","1"
"ПТ","16:30-17:50","1-333","Мікробіологія","0","Фуртат І. М. ","1"
