"ПН","10:00-11:20","1-333","Колоїдна хімія","0","Солодка Л. М. ","2-12"
"ПН","11:40-13:00","2-405","Колоїдна хімія","0","Солодка Л. М. ","2,3,4"
"ПН","11:40-13:00","2-405","Хімія і фіз.-хім. ВМС","0","Солодка Л. М. ","7"
"ПН","11:40-13:00","2-405","Колоїдна хімія","1","Солодка Л. М. ","5"
"ПН","11:40-13:00","2-415","Хімія і фіз.-хім. ВМС","1","Солодка Л. М. ","6"
"ПН","13:30-14:50","2-415","Колоїдна хімія","2","Солодка Л. М. ","5"
"ПН","13:30-14:50","2-415","Хімія і фіз.-хім. ВМС","2","Солодка Л. М. ","6"
"ВТ","10:00-11:20","2-405","Колоїдна хімія","1","Солодка Л. М. ","1-12"
"ВТ","11:40-13:00","2-405","Колоїдна хімія","2","Солодка Л. М. ","1-12"
"ВТ","13:30-14:50","1-333","МВІДОС","0","Жалніна Г. Г. ","1,3,5,7,9,11"
"СР","08:30-09:50","3-306","Фізична хімія","0","Коновалова В. В. ","3"
"СР","10:00-11:20","3-219","Фізична хімія","0","Коновалова В. В. ","1-12"
"СР","11:40-13:00","2-403","Хімія і фіз.-хім. ВМС","0","Солодка Л. М. ","1-12"
"СР","13:30-14:50","2-309","МВІДОС","1","Жалніна Г. Г. ","2,4,6,8,10,12"
"СР","15:00-16:20","2-309","МВІДОС","2","Жалніна Г. Г. ","2,4,6,8,10,12"
"ЧТ","10:00-11:20","2-413","Фізична хімія","1","Коновалова В. В. ","1-12"
"ЧТ","11:40-13:00","2-413","Фізична хімія","1","Коновалова В. В. ","1-12"
"ЧТ","11:40-13:00","2-415","Хімія і фіз.-хім. ВМС","1","Солодка Л. М. ","1-12"
"ЧТ","13:30-14:50","2-413","Фізична хімія","2","Коновалова В. В. ","1-12"
"ЧТ","13:30-14:50","2-415","Хімія і фіз.-хім. ВМС","2","Солодка Л. М. ","1-12"
"ЧТ","15:00-16:20","2-413","Фізична хімія","2","Коновалова В. В. ","1-12"
"ЧТ","16:30-17:50","2-413","Фізична хімія","1","Коновалова В. В. ","4,5,6"
"ЧТ","16:30-17:50","2-401","Фізична хімія","2","Коновалова В. В. ","7,8,10"
