"ПН","08:30-09:50","1-223","Забезпечення якості програмних систем","0","Афонін А. ","2,5"
"ПН","08:30-09:50","2-214","Забезпечення якості програмних систем","1","Афонін А. ","3,4"
"ПН","08:30-09:50","2-204","Забезпечення якості програмних систем","3","Борозенний С. ","3,4"
"ПН","10:00-11:20","1-223","Забезпечення якості програмних систем","0","Афонін А. ","2-12"
"ПН","11:40-13:00","2-214","Забезпечення якості програмних систем","1","Афонін А. ","2-12"
"ПН","11:40-13:00","2-204","Забезпечення якості програмних систем","3","Борозенний С. ","2-12"
"ПН","11:40-13:00","1-208","Забезпечення якості програмних систем","5","Костюк О. ","2-12"
"ПН","13:30-14:50","2-214","Забезпечення якості програмних систем","2","Афонін А. ","2-12"
"ПН","13:30-14:50","2-204","Забезпечення якості програмних систем","4","Борозенний С. ","2-12"
"ПН","13:30-14:50","1-208","Забезпечення якості програмних систем","5","Костюк О. ","3,4"
"ПН","15:00-16:20","2-214","Забезпечення якості програмних систем","2","Афонін А. ","3,4"
"ПН","15:00-16:20","2-204","Забезпечення якості програмних систем","4","Борозенний С. ","3,4"
"ПН","15:00-16:20","2-214","Комп’ютерна графіка","0","Гломозда Д. ","2"
"ПН","15:00-16:20","2-214","Комп’ютерна графіка","1","Гломозда Д. ","5"
"ВТ","08:30-09:50","1-306","Паралельні обчислювальні системи","1","Ющенко Р. ","1-12"
"ВТ","08:30-09:50","1-307","Основи побудови компіляторів","2","Кривонос Ю. ","1-12"
"ВТ","10:00-11:20","1-223","Паралельні обчислювальні системи","0","Ющенко Р. ","1-12"
"ВТ","11:40-13:00","1-306","Паралельні обчислювальні системи","2","Ющенко Р. ","1-12"
"ВТ","11:40-13:00","1-307","Основи побудови компіляторів","1","Жежерун О. ","1-12"
"ВТ","13:30-14:50","1-306","Паралельні обчислювальні системи","3","Ющенко Р. ","1-12"
"ВТ","13:30-14:50","1-307","Основи побудови компіляторів","5","Кривонос Ю. ","1-12"
"ВТ","15:00-16:20","1-306","Паралельні обчислювальні системи","4","Ющенко Р. ","1-12"
"ВТ","15:00-16:20","1-307","Основи побудови компіляторів","3","Кривонос Ю. ","1-12"
"ВТ","16:30-17:50","1-306","Паралельні обчислювальні системи","5","Ющенко Р. ","1-12"
"ВТ","16:30-17:50","1-307","Основи побудови компіляторів","4","Кривонос Ю. ","1-12"
"СР","08:30-09:50","2-214","Технології мультимедіа","0","Афонін А. ","1"
"СР","08:30-09:50","2-214","Технології мультимедіа","1","Афонін А. ","2"
"СР","10:00-11:20","2-214","Технології мультимедіа","0","Афонін А. ","1-12"
"СР","11:40-13:00","2-214","Технології мультимедіа","1","Афонін А. ","1-12"
"СР","13:30-14:50","1-306","Комп’ютерна графіка","0","Гломозда Д. ","1-12"
"СР","15:00-16:20","1-306","Комп’ютерна графіка","1","Гломозда Д. ","1-12"
"СР","16:30-17:50","1-306","Комп’ютерна графіка","1","Гломозда Д. ","1-12"
"ЧТ","08:30-09:50","2-214","Електронні видання","0","Афонін А. ","1"
"ЧТ","08:30-09:50","2-214","Електронні видання","1","Афонін А. ","2"
"ЧТ","10:00-11:20","2-214","Електронні видання","0","Афонін А. ","1-12"
"ЧТ","11:40-13:00","1-310","Електронні видання","1","Афонін А. ","1-12"
"ЧТ","13:30-14:50","1-310","Прикладне програмування мобільних систем","0","Захоженко П. ","1-11"
"ЧТ","15:00-16:20","1-208","Прикладне програмування мобільних систем","1","Захоженко П. ","1-10"
"ПТ","10:00-11:20","1-313","Основи побудови компіляторів","0","Жежерун О. ","1-12"
"ПТ","11:40-13:00","1-208","Основи комп’ютерної безпеки","0","Синявський О. ","1-10"
"ПТ","11:40-13:00","1-208","Основи комп’ютерної безпеки","1","Синявський О. ","11,12"
"ПТ","13:30-14:50","1-206","Основи комп’ютерної безпеки","1","Синявський О. ","1-10"
"СБ","10:00-11:20","1-223","Паралельні обчислювальні системи","0","Ющенко Р. ","1"
"СБ","10:00-11:20","1-223","Основи побудови компіляторів","0","Жежерун О. ","2"
"СБ","10:00-11:20","1-306","Паралельні обчислювальні системи","1","Ющенко Р. ","5"
"СБ","10:00-11:20","1-306","Паралельні обчислювальні системи","2","Ющенко Р. ","6"
"СБ","11:40-13:00","1-306","Паралельні обчислювальні системи","3","Ющенко Р. ","4"
"СБ","11:40-13:00","1-306","Паралельні обчислювальні системи","4","Ющенко Р. ","5"
"СБ","11:40-13:00","1-306","Паралельні обчислювальні системи","5","Ющенко Р. ","6"
"СБ","11:40-13:00","1-307","Основи побудови компіляторів","1","Жежерун О. ","4"
"СБ","11:40-13:00","1-307","Основи побудови компіляторів","2","Кривонос Ю. ","5"
"СБ","13:30-14:50","1-307","Основи побудови компіляторів","3","Кривонос Ю. ","4"
