"ПН","08:30-09:50","5-104","Друга світова війна в історичній пам'яті та політиці історії в Україні і світі","0","Гриневич В. ","2-12"
"ПН","10:00-11:20","5-104","Друга світова війна в історичній пам'яті та політиці історії в Україні і світі","0","Гриневич В. ","2"
"ПН","10:00-11:20","5-104","Друга світова війна в історичній пам'яті та політиці історії в Україні і світі","1","Гриневич В. ","3-12"
"ПН","11:40-13:00","1-220","Становлення і розвиток української державності Нового часу","0","Щербак В. ","2-12"
"ПН","13:30-14:50","1-220","Становлення і розвиток української державності Нового часу","0","Щербак В. ","2"
"ПН","13:30-14:50","1-220","Становлення і розвиток української державності Нового часу","1","Щербак В. ","3-12"
"ПН","15:00-16:20","5-104","Українська революція 1917-1921 рр.","0","Верстюк В. ","2-12"
"ПН","16:30-17:50","5-104","Українська революція 1917-1921 рр.","0","Верстюк В. ","2"
"ПН","16:30-17:50","5-104","Українська революція 1917-1921 рр.","1","Верстюк В. ","3-12"
"СР","10:00-11:20","5-104","Польська мова для істориків","1","Дубровська І. ","3,5"
"СР","10:00-11:20","0-0ЦПЄС","Методологічний практикум","1","Диса К. ","2,4,6,8"
"СР","11:40-13:00","8-9","Проблема імперій в Нові часи","0","Гломозда К. ","1-12"
"СР","13:30-14:50","8-9","Проблема імперій в Нові часи","0","Гломозда К. ","1-3"
"СР","13:30-14:50","8-9","Проблема імперій в Нові часи","1","Гломозда К. ","4-12"
"СР","15:00-16:20","8-9","Проблема імперій в Нові часи","1","Гломозда К. ","3,5,7,9"
"СР","15:00-16:20","8-9","Польська мова для істориків","1","Дубровська І. ","1,2,4,6,8,10,11,12"
"СР","16:30-17:50","8-9","Польська мова для істориків","1","Дубровська І. ","1-12"
"ПТ","10:00-11:20","5-104","Становлення і розвиток української державності Нового часу","0","Щербак В. ","1,2"
"ПТ","10:00-11:20","5-104","Становлення і розвиток української державності Нового часу","1","Щербак В. ","4,7,9"
"ПТ","11:40-13:00","5-104","Становлення і розвиток української державності Нового часу","0","Щербак В. ","1"
"ПТ","11:40-13:00","5-104","Українська революція 1917-1921 рр.","0","Верстюк В. ","2"
"ПТ","11:40-13:00","5-104","Українська революція 1917-1921 рр.","1","Верстюк В. ","4,7,9"
"ПТ","13:30-14:50","5-104","Українська революція 1917-1921 рр.","0","Верстюк В. ","1"
"ПТ","13:30-14:50","5-104","Польська мова для істориків","1","Дубровська І. ","2-5,7-12"
"ПТ","15:00-16:20","5-104","Українська революція 1917-1921 рр.","0","Верстюк В. ","1"
"ПТ","15:00-16:20","5-104","Польська мова для істориків","1","Дубровська І. ","2-5,7-12"
"ПТ","16:30-17:50","0-0ЦПЄС","Методологічний практикум","1","Диса К. ","1-5,7-11"
"СБ","10:00-11:20","5-104","Історія СРСР","0","Шліхта Н. ","4-7"
"СБ","11:40-13:00","5-104","Історія СРСР","0","Шліхта Н. ","2-4"
"СБ","11:40-13:00","5-104","Історія СРСР","1","Шліхта Н. ","5-11"
"СБ","13:30-14:50","8-9","Друга світова війна в історичній пам'яті та політиці історії в Україні і світі","0","Гриневич В. ","3-4"
"СБ","13:30-14:50","8-9","Друга світова війна в історичній пам'яті та політиці історії в Україні і світі","1","Гриневич В. ","5-6"
"СБ","15:00-16:20","8-9","Друга світова війна в історичній пам'яті та політиці історії в Україні і світі","0","Гриневич В. ","3"
"СБ","15:00-16:20","8-9","Друга світова війна в історичній пам'яті та політиці історії в Україні і світі","1","Гриневич В. ","4"
