"СР","08:30-09:50","1-309","Моделювання складних систем","0","Кошманенко В. ","2-12"
"СР","10:00-11:20","1-309","Моделювання складних систем","1","Кошманенко В. ","2-12"
"СР","11:40-13:00","1-208","Моделювання складних систем","0","Кошманенко В. ","2-4"
"СР","11:40-13:00","1-208","Моделювання складних систем","1","Кошманенко В. ","5-7"
"ЧТ","13:30-14:50","1-225","Науково-дослідний семінар","0","Чорней Р. ","1-12"
"ЧТ","15:00-16:20","1-225","Науково-дослідний семінар","0","Чорней Р. ","1-12"
"ЧТ","16:30-17:50","1-225","Науково-дослідний семінар","0","Чорней Р. ","1-4"
"ПТ","13:30-14:50","1-208","Прийняття рішень за умов невизначеності","0","Михалевич В. ","1-12"
"ПТ","15:00-16:20","1-208","Прийняття рішень за умов невизначеності","2","Михалевич В. ","1-12"
"ПТ","16:30-17:50","1-208","Прийняття рішень за умов невизначеності","0","Михалевич В. ","9,10"
"ПТ","16:30-17:50","1-208","Прийняття рішень за умов невизначеності","2","Михалевич В. ","11,12"
