"ПН","08:30-09:50","1-208","Парадигми паралельного програмування","0","Гломозда Д. ","2-11"
"ПН","10:00-11:20","1-208","Парадигми паралельного програмування","1","Шабінський А. ","2-12"
"ВТ","10:00-11:20","1-112","Науково-дослідний семінар","0","Гороховський С. ","3-12"
"ВТ","11:40-13:00","1-112","Науково-дослідний семінар","0","Гороховський С. ","3-12"
"ВТ","13:30-14:50","1-223","Науково-дослідний семінар","0","Гороховський С. ","3-6"
"СР","10:00-11:20","1-306","Науково-дослідний семінар","0","Гороховський С. ","1,2"
"СР","11:40-13:00","1-306","Науково-дослідний семінар","0","Гороховський С. ","1,2"
"СР","13:30-14:50","1-208","Проектування програмних систем","0","Жежерун О. ","1-12"
"СР","15:00-16:20","1-208","Проектування програмних систем","1","Жежерун О. ","1-12"
"СР","16:30-17:50","1-208","Проектування програмних систем","0","Жежерун О. ","1,2"
"СР","16:30-17:50","1-208","Проектування програмних систем","1","Жежерун О. ","3,4"
"ЧТ","15:00-16:20","1-206","Оптимізація конвергентних мереж","0","Черкасов Д. ","1-12"
"ЧТ","16:30-17:50","1-206","Оптимізація конвергентних мереж","1","Черкасов Д. ","1-12"
"ЧТ","18:00-19:20","1-206","Оптимізація конвергентних мереж","0","Черкасов Д. ","2,3"
"ЧТ","18:00-19:20","1-206","Оптимізація конвергентних мереж","1","Черкасов Д. ","4,5"
"ПТ","08:30-09:50","1-309","Декларативне програмування та розробка баз знань","2","Ільїн М. ","1-12"
"ПТ","10:00-11:20","1-309","Декларативне програмування та розробка баз знань","1","Ільїн М. ","1-12"
"ПТ","11:40-13:00","1-223","Декларативне програмування та розробка баз знань","0","Ільїн М. ","1-12"
"СБ","10:00-11:20","1-225","Декларативне програмування та розробка баз знань","0","Ільїн М. ","2,3"
"СБ","11:40-13:00","1-307","Декларативне програмування та розробка баз знань","2","Ільїн М. ","2,3"
"СБ","13:30-14:50","1-307","Декларативне програмування та розробка баз знань","1","Ільїн М. ","2,3"
