"ПН","11:40-13:00","1-333","Теорія функцій комлексної змінної","0","Бернацька Ю. М. ","2-12"
"ПН","13:30-14:50","1-333","Теорія функцій комлексної змінної","1","Бернацька Ю. М. ","2-12"
"ПН","15:00-16:20","2-403","Теорія функцій комлексної змінної","0","Бернацька Ю. М. ","2,3,4"
"ПН","15:00-16:20","2-403","Теорія функцій комлексної змінної","1","Бернацька Ю. М. ","5,6"
"ВТ","10:00-11:20","2-404","Класична механіка","0","Бернацька Ю. М. ","1-12"
"ВТ","11:40-13:00","2-404","Класична механіка","0","Бернацька Ю. М. ","1-9"
"ВТ","11:40-13:00","2-404","Класична механіка","1","Бернацька Ю. М. ","10-12"
"ВТ","13:30-14:50","2-404","Класична механіка","1","Бернацька Ю. М. ","1-12"
"СР","10:00-11:20","2-402","Електрика та магнетизм","0","Прокопець Г. О. ","1-12"
"СР","11:40-13:00","2-402","Електрика та магнетизм","1","Прокопець Г. О. ","1-12"
"СР","13:30-14:50","2-310","Електрика та магнетизм","0","Прокопець Г. О. ","1,2"
"СР","13:30-14:50","2-310","Електрика та магнетизм","1","Прокопець Г. О. ","3,4"
"ЧТ","08:30-09:50","2-312","Методи експериментальної фізики","1","Шиманська О. Т. ","2,3,4"
"ЧТ","10:00-11:20","2-312","Методи експериментальної фізики","1","Шиманська О. Т. ","1-12"
"ЧТ","11:40-13:00","2-312","Практикум з електрики та магнетизму","1","Шиманська О. Т. ","1-12"
"ЧТ","13:30-14:50","2-402","Класична механіка","1","Бернацька Ю. М. ","1-7"
"ЧТ","13:30-14:50","2-312","Практикум з електрики та магнетизму","1","Шиманська О. Т. ","6-12"
"ПТ","08:30-09:50","2-312","Методи експериментальної фізики","2","Шиманська О. Т. ","2,3"
"ПТ","11:40-13:00","2-312","Методи експериментальної фізики","2","Шиманська О. Т. ","1-12"
"ПТ","13:30-14:50","2-312","Практикум з електрики та магнетизму","2","Шиманська О. Т. ","1-12"
"ПТ","15:00-16:20","2-312","Практикум з електрики та магнетизму","3","Шиманська О. Т. ","1-12"
"ПТ","16:30-17:50","2-312","Практикум з електрики та магнетизму","2","Шиманська О. Т. ","1-6"
"ПТ","16:30-17:50","2-312","Практикум з електрики та магнетизму","3","Шиманська О. Т. ","7-12"
