"ВТ","11:40-13:00","1-310","Методи проектування корпоративних інформаційних систем","0","Дубровський В. ","1-12"
"ВТ","13:30-14:50","1-310","Методи проектування корпоративних інформаційних систем","1","Дубровський В. ","1-12"
"ВТ","15:00-16:20","1-310","Методи проектування корпоративних інформаційних систем","0","Дубровський В. ","1,2"
"ВТ","15:00-16:20","1-310","Методи проектування корпоративних інформаційних систем","1","Дубровський В. ","3,4"
"СР","11:40-13:00","1-310","Мережні технології","0","Кислоокий В. ","1-12"
"СР","13:30-14:50","1-307","Мережні технології","1","Кислоокий В. ","1-12"
"СР","15:00-16:20","1-331","Групова розробка програмних систем (груповий проект)","0","Бублик В. ","1-12"
"СР","16:30-17:50","1-331","Групова розробка програмних систем (груповий проект)","1","Бублик В. ","1-12"
"СР","18:00-19:20","1-331","Групова розробка програмних систем (груповий проект)","0","Бублик В. ","4,6"
"СР","18:00-19:20","1-331","Групова розробка програмних систем (груповий проект)","1","Бублик В. ","8,10"
"ЧТ","08:30-09:50","1-331","Проектування автоматизованих систем управління","0","Дубровський В. ","1-12"
"ЧТ","10:00-11:20","1-331","Проектування автоматизованих систем управління","1","Дубровський В. ","1-12"
"ЧТ","11:40-13:00","1-108","Проектування автоматизованих систем управління","0","Дубровський В. ","2,3"
"ЧТ","11:40-13:00","1-108","Проектування автоматизованих систем управління","1","Дубровський В. ","4,5"
"ПТ","08:30-09:50","1-306","Розробка Web-сайтів на основі Perl, Python, Ruby","0","Кислоокий В. ","1-12"
"ПТ","10:00-11:20","1-306","Розробка Web-сайтів на основі Perl, Python, Ruby","1","Кислоокий В. ","1-12"
"ПТ","11:40-13:00","1-225","Технологія Ajax","0","Кислоокий В. ","1-12"
"ПТ","13:30-14:50","1-309","Технологія Ajax","1","Кислоокий В. ","1-12"
"ПТ","15:00-16:20","1-206","Розробка Web-сайтів на основі Perl, Python, Ruby","0","Кислоокий В. ","1,2"
"ПТ","15:00-16:20","1-206","Розробка Web-сайтів на основі Perl, Python, Ruby","1","Кислоокий В. ","3,4"
"СБ","10:00-11:20","1-306","Мережні технології","0","Кислоокий В. ","1,2"
"СБ","10:00-11:20","1-306","Мережні технології","1","Кислоокий В. ","3,4"
"СБ","10:00-11:20","1-306","Технологія Ajax","1","Кислоокий В. ","7,8"
"СБ","11:40-13:00","1-306","Технологія Ajax","0","Кислоокий В. ","7,8"
"СБ","11:40-13:00","1-306","Технологія Ajax","1","Кислоокий В. ","9,10"
"СБ","13:30-14:50","1-306","Технологія Ajax","1","Кислоокий В. ","7-10"
